,Longitude,Latitude,CEC [cmol/kg]
255,-5.6501,38.634,3.5
256,-5.6001,38.584,5.5
257,-5.5168,38.6173,2.9
258,-6.8169,38.4173,20.8
259,-6.6002,38.434,15.9
260,-6.5169,38.4006,13.2
261,-6.3335,38.4673,37.5
262,-6.3502,38.3673,35.6
263,-6.2502,37.984,16.2
264,-5.8502,38.484,13.8
265,-7.0835,38.234,11.5
266,-7.0002,38.284,8.6
267,-6.7835,38.3173,20.1
268,-6.6896,38.2251,7.6
269,-6.6558,38.194,9.9
270,-6.4835,38.2173,15.6
271,-5.7168,38.284,33.8
272,-6.5669,38.134,12.5
273,-6.5335,38.034,20.2
274,1.8003,42.1841,8.5
275,2.3253,41.8118,14.5
276,2.3892,41.7785,8.8
277,2.3336,41.7674,14.0
278,2.3947,41.7285,16.8
279,2.4392,41.7618,10.8
280,1.5169,41.5174,12.5
281,1.4336,41.5007,16.1
282,2.367,41.534,19.4
283,2.317,41.5007,14.7
284,2.3586,41.5368,15.4
285,2.3586,41.5229,13.2
286,1.553,41.4515,13.2
287,1.6749,41.428,22.2
288,1.6269,41.3515,14.7
289,1.8669,41.4007,14.9
290,1.9305,41.3889,70.6
291,1.9503,41.334,30.0
292,1.9169,41.3007,25.9
293,2.0108,41.3302,10.2
294,1.9528,41.2882,15.7
295,1.9455,41.2696,19.0
296,2.367,41.6841,23.0
297,-3.8167,42.9174,12.2
298,-3.4,42.9674,17.3
299,-3.0668,42.1341,30.5
300,-3.0667,42.1341,21.6
301,-3.0167,42.0424,15.6
302,-3.2833,41.9507,11.0
303,-3.0333,41.9841,20.7
304,-3.0167,41.9841,6.2
305,-3.9334,41.7507,23.5
306,-3.8834,41.7674,1.0
307,-3.8667,41.7507,11.1
308,-3.8834,41.7007,13.3
309,-3.8,41.7674,9.0
310,-3.7667,41.7341,12.1
311,-3.6334,41.7841,5.5
312,-3.7334,41.7007,10.3
313,-3.6834,41.7174,17.2
314,-3.6334,41.7341,2.3
315,-3.6167,41.7841,16.5
316,-3.5,41.7507,16.5
317,-3.5167,41.7007,15.8
318,-3.45,41.7007,20.5
319,-3.8167,41.6507,15.3
320,-3.5667,41.6341,13.5
321,-3.5167,41.6841,9.9
322,-3.0333,41.9841,1.6
323,-3.45,43.1174,4.9
324,-3.9667,41.8174,27.6
325,-3.9501,41.7507,22.7
326,-3.55,41.7674,5.0
327,-6.2502,40.3507,22.5
328,-6.7001,40.1998,10.0
329,-6.6919,40.2424,18.3
330,-6.5835,40.2174,17.9
331,-6.5002,40.2507,13.9
332,-6.1502,40.2174,21.3
333,-6.0502,40.2507,8.4
334,-5.6168,40.0174,10.2
335,-5.7001,40.2674,17.9
336,-6.4669,40.034,13.6
337,-6.3169,40.084,5.4
338,-6.0335,40.0507,36.8
339,-6.0002,40.034,11.1
340,-5.8835,40.1507,9.2
341,-5.8668,40.134,20.4
342,-5.8335,40.134,15.0
343,-5.5668,40.1507,28.1
344,-5.5835,40.1174,14.0
345,-5.8335,40.1146,9.4
346,-5.6001,40.0174,42.8
347,-5.3668,40.134,2.2
348,-6.8669,39.8673,2.0
349,-6.5169,39.9173,4.2
350,-6.0502,39.884,34.1
351,-5.9168,39.934,8.9
352,-5.6835,39.9174,8.9
353,-5.6001,39.934,6.0
354,-5.5835,39.6673,30.3
355,-6.3335,39.7173,8.2
356,-5.5668,39.734,11.6
357,-5.3501,39.8007,16.8
358,-5.2168,39.7673,12.3
359,-7.0836,39.6007,22.0
360,-6.6502,39.6007,10.4
361,-6.2668,39.6007,5.7
362,-5.8668,39.5507,8.7
363,-5.6335,39.634,5.8
364,-5.3335,39.5507,7.2
365,-6.6835,39.384,7.2
366,-6.4169,39.4507,23.7
367,-6.2835,39.434,10.1
368,-5.7001,39.384,6.1
369,-5.3335,39.484,20.6
370,-6.5946,39.2701,29.8
371,-6.5002,39.284,9.1
372,-6.2168,39.334,9.3
373,-5.346,39.3312,6.4
374,-6.0168,39.1507,7.5
375,-5.9168,39.1173,8.7
376,-5.7168,39.134,26.0
377,-6.8072,40.1646,11.9
378,-5.8502,40.2674,28.6
379,-5.8835,40.2507,15.0
380,-5.8668,40.234,28.2
381,-6.8669,40.2174,34.0
382,-6.7669,40.234,17.5
383,-6.7835,40.2174,47.6
384,-5.5668,40.1007,20.2
385,-5.4668,39.884,7.6
386,-6.7835,40.184,9.2
387,-6.6335,40.2174,18.3
388,-6.0668,40.234,8.4
389,-6.5835,40.0174,7.4
390,-6.5669,40.0174,13.0
391,-6.5502,40.034,21.0
392,-6.5502,40.0174,23.0
393,-6.5502,40.0007,14.0
394,-5.6835,40.0174,23.0
395,-5.5668,40.034,3.6
396,-5.5335,40.0674,4.3
397,-5.4335,40.1007,5.9
398,-5.4335,40.0507,5.9
399,-5.4001,40.1174,3.7
400,-6.5669,39.984,9.6
401,-6.3169,39.984,2.2
402,-6.3169,39.9173,3.1
403,-6.4002,39.9507,6.3
404,-6.3835,39.9007,19.5
405,-5.7001,36.9006,3.5
406,-5.1168,36.9673,67.6
407,-5.1001,36.9173,35.3
408,-5.1168,36.9506,40.8
409,-6.1835,36.7506,72.2
410,-6.0502,36.7006,20.7
411,-6.0779,36.6841,16.1
412,-5.7335,36.7339,24.0
413,-5.6668,36.7673,2.0
414,-5.6168,36.8006,3.8
415,-5.5835,36.8173,2.6
416,-6.0502,36.5173,69.4
417,-5.7001,36.5006,35.2
418,-6.0835,36.4839,20.0
419,-5.4335,36.3006,29.1
420,-5.4001,36.2506,1.4
421,-5.4335,36.2006,1.4
422,-5.3946,36.1837,20.8
423,-4.3387,43.3519,39.8
424,-4.2834,43.3675,9.9
425,-4.1167,43.4008,43.8
426,-4.0834,43.4008,39.6
427,-4.0334,43.4175,24.9
428,-3.7773,43.3966,12.6
429,-3.775,43.3958,44.2
430,-3.6167,43.3841,33.7
431,-3.45,43.3841,13.9
432,-3.2667,43.3841,16.0
433,-4.0923,43.3575,4.5
