,Longitude,Latitude,OM [%]
350,-6.4658,43.0995,19.76
351,-6.4647,43.0711,6.69
352,-6.4697,43.05,10.41
353,-6.4283,43.07,4.89
354,-6.3772,43.06,7.77
355,-6.4275,42.9939,5.81
356,-6.4864,42.9739,9.27
357,-6.448,42.9461,5.44
358,-6.5264,42.9392,9.55
359,-6.5747,42.982,6.24
360,-6.6189,42.9542,4.49
361,-6.7872,42.9172,6.84
362,-6.743,42.9453,13.62
363,-6.7025,42.9425,8.35
364,-6.7472,43.0222,5.47
365,-6.7225,43.0428,7.16
366,-6.6789,43.0325,10.06
367,-6.6978,43.0125,11.53
368,-6.8869,42.9945,19.97
369,-6.8769,42.9992,6.94
370,-6.8247,43.065,18.66
371,-6.7958,43.1008,17.56
372,-6.6825,43.1614,23.84
373,-6.6742,43.1528,8.17
374,-6.5728,43.1842,10.72
375,-6.5553,43.2142,8.32
376,-6.5844,43.232,6.56
377,-6.6661,43.2631,30.1
378,-6.6758,43.2689,32.67
379,-6.79,43.2017,8.34
380,-6.7694,43.2292,13.39
381,-6.7319,43.2597,10.16
382,-6.6705,43.3086,19.3
383,-6.6458,43.4691,8.44
384,-6.7269,43.332,18.41
385,-6.7569,43.3706,4.07
386,-6.8219,43.4406,15.25
387,-6.8358,43.4364,11.15
388,-6.9519,43.3703,14.41
389,-7.0125,43.347,4.41
390,-7.0267,43.3208,11.12
391,-6.9691,43.275,5.11
392,-6.86,43.2436,9.65
393,-6.9453,43.1347,10.07
394,-6.9547,43.1689,7.85
395,-7.0322,43.2736,9.22
396,-7.6697,43.5136,5.71
397,-7.5197,43.5813,9.34
398,-7.6461,43.5361,10.1
399,-7.4186,43.5947,19.96
400,-7.4953,43.5836,28.97
401,-7.4586,43.593,30.04
402,-7.4342,43.5872,11.47
403,-7.46,43.4466,16.34
404,-7.4053,43.4541,19.65
405,-7.6181,43.4208,5.4
406,-7.6308,43.448,6.12
407,-7.5331,43.5925,9.52
408,-7.5628,43.548,15.48
409,-7.4897,43.4466,12.52
410,-7.5091,43.5183,4.72
411,-7.6908,43.3086,9.15
412,-7.6686,43.4947,9.42
413,-7.5828,43.5538,3.81
414,-7.5836,43.5141,7.05
415,-7.4253,43.4758,13.8
416,-7.635,43.4863,11.0
417,-7.5303,43.4647,11.9
418,-7.5464,43.4338,9.14
419,-7.5386,43.4902,8.8
420,-7.5881,43.4705,12.2
421,-7.5942,43.4619,16.9
422,-7.5539,43.4638,10.2
423,-7.5336,43.5508,7.0
424,-7.4164,43.5911,4.02
425,-7.5389,43.5563,14.81
426,-7.5114,43.5413,59.57
427,-7.4497,43.4627,15.64
428,-7.4461,43.4214,8.02
429,-8.8003,41.9341,5.46
430,-8.6783,42.0759,13.6
431,-8.7022,42.0448,8.29
432,-8.6208,42.5759,6.01
433,-8.7837,43.1647,11.78
434,-8.7337,43.1508,16.3
435,-8.9337,43.2369,8.44
