,Longitude,Latitude,Ca [mg/kg]
338,-6.6742,43.1528,230.0
339,-6.5728,43.1842,365.0
340,-6.5553,43.2142,472.0
341,-6.5844,43.232,473.0
342,-6.6661,43.2631,1178.0
343,-6.6758,43.2689,1281.0
344,-6.79,43.2017,295.0
345,-6.7694,43.2292,322.0
346,-6.7319,43.2597,600.0
347,-6.6705,43.3086,736.0
348,-6.6458,43.4691,430.0
349,-6.7269,43.332,517.0
350,-6.7569,43.3706,282.0
351,-6.8219,43.4406,731.0
352,-6.8358,43.4364,437.0
353,-6.9519,43.3703,465.0
354,-7.0125,43.347,286.0
355,-7.0267,43.3208,335.0
356,-6.9691,43.275,315.0
357,-6.86,43.2436,389.0
358,-6.9453,43.1347,181.0
359,-6.9547,43.1689,338.0
360,-7.0322,43.2736,365.0
361,-7.6697,43.5136,74.0
362,-7.5197,43.5813,50.0
363,-7.6461,43.5361,99.0
364,-7.4186,43.5947,118.0
365,-7.4953,43.5836,104.0
366,-7.4586,43.593,56.0
367,-7.4342,43.5872,31.0
368,-7.46,43.4466,94.0
369,-7.4053,43.4541,131.0
370,-7.6181,43.4208,62.0
371,-7.6308,43.448,68.0
372,-7.5331,43.5925,34.0
373,-7.5628,43.548,87.0
374,-7.4897,43.4466,159.0
375,-7.5091,43.5183,38.0
376,-7.6908,43.3086,74.0
377,-7.6686,43.4947,172.0
378,-7.5828,43.5538,67.0
379,-7.5836,43.5141,75.0
380,-7.4253,43.4758,90.0
381,-7.635,43.4863,33.0
382,-7.5303,43.4647,137.0
383,-7.5464,43.4338,114.0
384,-7.5386,43.4902,74.0
385,-7.5881,43.4705,49.0
386,-7.5942,43.4619,112.0
387,-7.5539,43.4638,41.0
388,-7.5336,43.5508,71.0
389,-7.4164,43.5911,60.0
390,-7.5389,43.5563,44.0
391,-7.5114,43.5413,338.0
392,-7.4497,43.4627,148.0
393,-7.4461,43.4214,90.0
394,-0.7499,42.4563,4950.0
395,-0.7415,42.4535,4800.0
396,0.0085,42.573,3350.0
397,0.1585,42.5702,3150.0
398,0.1891,42.5591,4700.0
399,0.1919,42.4369,5500.0
400,0.9836,42.323,7900.0
401,1.3419,42.3035,5300.0
402,1.7503,42.0369,4450.0
403,1.2641,41.9868,4300.0
404,1.4641,42.023,5450.0
405,1.403,42.0535,5600.0
406,1.4808,42.0896,6150.0
407,1.4975,42.0424,5650.0
408,1.3891,42.0063,4950.0
409,1.3419,41.9521,3800.0
410,1.6753,41.973,5550.0
411,1.6503,41.8702,4800.0
412,1.6919,41.8591,4950.0
413,1.8892,42.0035,4500.0
414,1.7058,42.0063,3900.0
415,1.581,41.9652,3900.0
416,1.6753,41.9535,4150.0
417,1.9808,42.0063,4250.0
418,1.9753,42.0563,4700.0
419,2.1336,41.8896,3752.0
420,2.067,41.8063,4262.0
421,0.9641,41.3702,2664.0
422,0.903,41.3229,5740.0
423,0.3002,40.8368,11520.0
424,0.3335,40.7735,7304.0
425,0.3252,40.6824,4452.0
426,0.2224,40.7896,6321.0
427,-0.6276,40.6396,8475.0
428,-0.6499,40.6229,6391.0
429,-0.5249,40.2757,8087.0
430,-0.6749,40.3062,5019.0
431,-0.7026,40.3229,3014.0
432,-1.0193,40.4063,9535.0
433,-1.3527,40.3396,6937.0
434,-1.3582,40.3201,5063.0
435,-0.8943,40.0229,2417.0
436,-1.0138,40.0368,6325.0
