,Longitude,Latitude,TN [mg/kg]
274,-5.0205,43.2642,800.0
275,-5.0172,43.2861,3500.0
276,-5.195,43.4369,6700.0
277,-5.2253,43.277,1900.0
278,-5.2114,43.2025,3200.0
279,-5.1564,43.1942,5700.0
280,-5.1283,43.1458,1600.0
281,-5.2164,43.1033,1900.0
282,-5.2217,43.1106,4200.0
283,-5.2914,43.1445,1400.0
284,-5.3061,43.1008,2800.0
285,-5.3217,43.1111,2800.0
286,-5.3861,43.2756,2100.0
287,-5.3967,43.2725,1200.0
288,-5.368,43.2333,7600.0
289,-5.4778,43.2156,1900.0
290,-5.4517,43.1889,900.0
291,-5.4372,43.192,1500.0
292,-5.4255,43.1967,5900.0
293,-5.4781,43.1533,5900.0
294,-5.4025,43.0597,5500.0
295,-5.4606,43.0736,2500.0
296,-5.5189,43.1028,2900.0
297,-5.5889,43.0681,5600.0
298,-5.525,43.2917,6000.0
299,-5.6586,43.2222,3500.0
300,-5.643,43.2228,2900.0
301,-5.6244,43.1961,3900.0
302,-5.6694,43.1325,2900.0
303,-5.6903,43.1247,4100.0
304,-5.675,43.1272,5200.0
305,-5.6883,43.1147,8700.0
306,-5.7611,43.01,2200.0
307,-5.7658,43.0008,4600.0
308,-5.7928,42.9864,5800.0
309,-5.8011,42.9861,7100.0
310,-5.7783,43.1836,4300.0
311,-5.8336,43.2256,1800.0
312,-5.9264,43.2392,4100.0
313,-5.925,43.185,4900.0
314,-5.9053,43.1442,2900.0
315,-5.8961,43.1397,7000.0
316,-5.9086,43.0611,3800.0
317,-5.8925,42.9925,2900.0
318,-6.0086,43.0625,4200.0
319,-5.9856,43.0911,4200.0
320,-5.9772,43.185,2200.0
321,-6.0033,43.1639,4100.0
322,-6.0728,43.137,2200.0
323,-6.0472,43.0967,4900.0
324,-6.0408,43.085,3000.0
325,-6.1325,43.2378,3200.0
326,-6.1078,43.1975,4300.0
327,-6.1605,43.1633,3000.0
328,-6.0942,43.0589,3400.0
329,-6.1169,43.0536,5500.0
330,-6.1455,43.0508,2800.0
331,-6.2394,43.057,4400.0
332,-6.2383,43.0336,3700.0
333,-6.3233,43.0617,2300.0
334,-6.32,43.0917,2300.0
335,-6.3364,43.1431,4200.0
336,-6.2911,43.2233,3600.0
337,-6.253,43.2278,3000.0
338,-6.2678,43.28,5700.0
339,-6.2825,43.4531,4000.0
340,-6.3544,43.3781,6100.0
341,-6.3992,43.3717,2100.0
342,-6.3742,43.3442,2500.0
343,-6.47,43.3303,6000.0
344,-6.3722,43.3097,2300.0
345,-6.4286,43.2261,3700.0
346,-6.4458,43.1781,4600.0
347,-6.4658,43.0995,5600.0
348,-6.4647,43.0711,3100.0
349,-6.4697,43.05,4900.0
350,-6.4283,43.07,2600.0
351,-6.3772,43.06,4800.0
352,-6.4275,42.9939,2800.0
353,-6.4864,42.9739,5600.0
354,-6.448,42.9461,3300.0
355,-6.5264,42.9392,3400.0
356,-6.5747,42.982,3400.0
357,-6.6189,42.9542,2400.0
358,-6.7872,42.9172,3400.0
359,-6.743,42.9453,4600.0
360,-6.7025,42.9425,3400.0
361,-6.7472,43.0222,2800.0
362,-6.7225,43.0428,3600.0
363,-6.6789,43.0325,3400.0
364,-6.6978,43.0125,3900.0
365,-6.8869,42.9945,6600.0
366,-6.8769,42.9992,3700.0
367,-6.8247,43.065,5700.0
368,-6.7958,43.1008,6400.0
369,-6.6825,43.1614,7000.0
370,-6.6742,43.1528,3400.0
371,-6.5728,43.1842,4500.0
372,-6.5553,43.2142,3600.0
373,-6.5844,43.232,4300.0
374,-6.6661,43.2631,10800.0
375,-6.6758,43.2689,9100.0
376,-6.79,43.2017,4600.0
377,-6.7694,43.2292,6100.0
378,-6.7319,43.2597,4200.0
379,-6.6705,43.3086,10900.0
380,-6.6458,43.4691,4600.0
381,-6.7269,43.332,8100.0
382,-6.7569,43.3706,2100.0
383,-6.8219,43.4406,6400.0
384,-6.8358,43.4364,4200.0
385,-6.9519,43.3703,6300.0
386,-7.0125,43.347,4200.0
387,-7.0267,43.3208,3600.0
388,-6.9691,43.275,2400.0
389,-6.86,43.2436,4300.0
390,-6.9453,43.1347,4600.0
391,-6.9547,43.1689,2900.0
392,-7.0322,43.2736,5000.0
393,-7.6697,43.5136,1820.0
394,-7.5197,43.5813,4620.0
395,-7.6461,43.5361,3360.0
396,-7.4186,43.5947,3920.0
397,-7.4953,43.5836,7420.0
398,-7.4586,43.593,8680.0
399,-7.4342,43.5872,2800.0
400,-7.46,43.4466,4500.0
401,-7.4053,43.4541,7000.0
402,-7.6181,43.4208,2380.0
403,-7.6308,43.448,1700.0
404,-7.5331,43.5925,2660.0
405,-7.5628,43.548,5700.0
406,-7.4897,43.4466,4900.0
407,-7.5091,43.5183,1700.0
408,-7.6908,43.3086,5880.0
409,-7.6686,43.4947,4480.0
410,-7.5828,43.5538,2200.0
411,-7.5836,43.5141,1800.0
412,-7.4253,43.4758,4480.0
413,-7.635,43.4863,3900.0
414,-7.5303,43.4647,5350.0
415,-7.5464,43.4338,4850.0
416,-7.5386,43.4902,4200.0
417,-7.5881,43.4705,3980.0
418,-7.5942,43.4619,5000.0
419,-7.5539,43.4638,3080.0
420,-7.5336,43.5508,2520.0
421,-7.4164,43.5911,1120.0
422,-7.5389,43.5563,6160.0
423,-7.5114,43.5413,17290.0
424,-7.4497,43.4627,5000.0
425,-7.4461,43.4214,4620.0
426,-7.8403,43.4481,3337.0
427,-8.9698,43.0341,3260.0
428,-2.2333,43.1008,2400.0
429,-2.3286,42.937,7458.0
430,-7.695,43.5247,6006.0
431,-7.3252,42.4507,1300.0
432,-7.5503,43.2508,2800.0
433,-7.2503,42.9758,5460.0
434,-6.9002,42.8008,5200.0
435,-0.7499,42.4563,2200.0
436,-0.7415,42.4535,1500.0
437,0.0085,42.573,2100.0
438,0.1585,42.5702,2200.0
439,0.1891,42.5591,2200.0
440,0.1919,42.4369,1100.0
441,0.9836,42.323,4900.0
442,1.3419,42.3035,2200.0
443,1.7503,42.0369,1300.0
444,1.2641,41.9868,1500.0
445,1.4641,42.023,1800.0
446,1.403,42.0535,1500.0
447,1.4808,42.0896,2100.0
448,1.4975,42.0424,1400.0
449,1.3891,42.0063,1500.0
450,1.3419,41.9521,1300.0
451,1.6753,41.973,1400.0
452,1.6503,41.8702,1300.0
453,1.6919,41.8591,3900.0
454,1.8892,42.0035,1700.0
455,1.7058,42.0063,1300.0
456,1.581,41.9652,400.0
457,1.6753,41.9535,2100.0
458,1.9808,42.0063,2100.0
459,1.9753,42.0563,600.0
460,2.1336,41.8896,2000.0
461,2.067,41.8063,1500.0
462,0.9641,41.3702,1300.0
463,0.903,41.3229,2600.0
464,0.3002,40.8368,6200.0
465,0.3335,40.7735,6000.0
466,0.3252,40.6824,3200.0
467,0.2224,40.7896,4600.0
468,-0.6276,40.6396,3500.0
469,-0.6499,40.6229,2000.0
470,-0.5249,40.2757,3900.0
471,-0.6749,40.3062,3400.0
472,-0.7026,40.3229,1700.0
473,-1.0193,40.4063,5200.0
474,-1.3527,40.3396,5600.0
475,-1.3582,40.3201,3200.0
476,-0.8943,40.0229,700.0
477,-1.0138,40.0368,2200.0
478,-0.986,40.0396,2700.0
479,-1.1832,40.1285,3400.0
480,-1.2027,40.1785,2800.0
481,-1.386,40.2618,2100.0
482,-1.3444,40.1896,2200.0
483,-1.5039,43.2488,3500.0
484,-1.5394,43.156,2800.0
485,-1.6667,43.1463,2000.0
486,-1.6695,43.1745,2500.0
487,-1.6689,43.1806,3300.0
488,-1.7787,43.0082,2200.0
489,-2.004,43.0623,4100.0
490,-1.902,43.2031,2300.0
491,-1.902,43.2053,3500.0
492,-1.8578,43.167,2700.0
493,-1.682,43.2442,6100.0
494,-1.7208,43.262,6300.0
495,-1.6833,43.2531,1500.0
496,-1.6608,43.2933,2900.0
497,-1.6522,43.2597,4200.0
498,2.9337,41.9507,1218.0
499,0.353,42.6674,3310.0
