,Longitude,Latitude,Mg [mg/kg]
254,-5.3861,43.2756,307.0
255,-5.3967,43.2725,292.0
256,-5.368,43.2333,200.0
257,-5.4778,43.2156,174.0
258,-5.4517,43.1889,73.0
259,-5.4372,43.192,158.0
260,-5.4255,43.1967,237.0
261,-5.4781,43.1533,237.0
262,-5.4025,43.0597,337.0
263,-5.4606,43.0736,123.0
264,-5.5189,43.1028,285.0
265,-5.5889,43.0681,136.0
266,-5.525,43.2917,300.0
267,-5.6586,43.2222,144.0
268,-5.643,43.2228,32.0
269,-5.6244,43.1961,109.0
270,-5.6694,43.1325,296.0
271,-5.6903,43.1247,825.0
272,-5.675,43.1272,778.0
273,-5.6883,43.1147,348.0
274,-5.7611,43.01,326.0
275,-5.7658,43.0008,253.0
276,-5.7928,42.9864,500.0
277,-5.8011,42.9861,500.0
278,-5.7783,43.1836,165.0
279,-5.8336,43.2256,37.0
280,-5.9264,43.2392,151.0
281,-5.925,43.185,329.0
282,-5.9053,43.1442,502.0
283,-5.8961,43.1397,119.0
284,-5.9086,43.0611,287.0
285,-5.8925,42.9925,353.0
286,-6.0086,43.0625,546.0
287,-5.9856,43.0911,106.0
288,-5.9772,43.185,454.0
289,-6.0033,43.1639,523.0
290,-6.0728,43.137,371.0
291,-6.0472,43.0967,130.0
292,-6.0408,43.085,250.0
293,-6.1325,43.2378,156.0
294,-6.1078,43.1975,325.0
295,-6.1605,43.1633,215.0
296,-6.0942,43.0589,421.0
297,-6.1169,43.0536,374.0
298,-6.1455,43.0508,483.0
299,-6.2394,43.057,416.0
300,-6.2383,43.0336,639.0
301,-6.3233,43.0617,448.0
302,-6.32,43.0917,159.0
303,-6.3364,43.1431,167.0
304,-6.2911,43.2233,314.0
305,-6.253,43.2278,702.0
306,-6.2678,43.28,133.0
307,-6.2825,43.4531,67.0
308,-6.3544,43.3781,463.0
309,-6.3992,43.3717,500.0
310,-6.3742,43.3442,29.0
311,-6.47,43.3303,931.0
312,-6.3722,43.3097,228.0
313,-6.4286,43.2261,398.0
314,-6.4458,43.1781,431.0
315,-6.4658,43.0995,89.0
316,-6.4647,43.0711,336.0
317,-6.4697,43.05,608.0
318,-6.4283,43.07,168.0
319,-6.3772,43.06,225.0
320,-6.4275,42.9939,148.0
321,-6.4864,42.9739,159.0
322,-6.448,42.9461,100.0
323,-6.5264,42.9392,152.0
324,-6.5747,42.982,332.0
325,-6.6189,42.9542,150.0
326,-6.7872,42.9172,337.0
327,-6.743,42.9453,83.0
328,-6.7025,42.9425,161.0
329,-6.7472,43.0222,269.0
330,-6.7225,43.0428,139.0
331,-6.6789,43.0325,135.0
332,-6.6978,43.0125,218.0
333,-6.8869,42.9945,126.0
334,-6.8769,42.9992,103.0
335,-6.8247,43.065,153.0
336,-6.7958,43.1008,207.0
337,-6.6825,43.1614,175.0
338,-6.6742,43.1528,833.0
339,-6.5728,43.1842,500.0
340,-6.5553,43.2142,500.0
341,-6.5844,43.232,500.0
342,-6.6661,43.2631,500.0
343,-6.6758,43.2689,500.0
344,-6.79,43.2017,134.0
345,-6.7694,43.2292,298.0
346,-6.7319,43.2597,284.0
347,-6.6705,43.3086,319.0
348,-6.6458,43.4691,188.0
349,-6.7269,43.332,302.0
350,-6.7569,43.3706,462.0
351,-6.8219,43.4406,380.0
352,-6.8358,43.4364,253.0
353,-6.9519,43.3703,380.0
354,-7.0125,43.347,229.0
355,-7.0267,43.3208,85.0
356,-6.9691,43.275,59.0
357,-6.86,43.2436,421.0
358,-6.9453,43.1347,143.0
359,-6.9547,43.1689,150.0
360,-7.0322,43.2736,220.0
361,-7.6697,43.5136,22.0
362,-7.5197,43.5813,44.0
363,-7.6461,43.5361,33.0
364,-7.4186,43.5947,87.0
365,-7.4953,43.5836,67.0
366,-7.4586,43.593,25.0
367,-7.4342,43.5872,14.0
368,-7.46,43.4466,15.0
369,-7.4053,43.4541,64.0
370,-7.6181,43.4208,25.0
371,-7.6308,43.448,19.0
372,-7.5331,43.5925,22.0
373,-7.5628,43.548,60.0
374,-7.4897,43.4466,39.0
375,-7.5091,43.5183,17.0
376,-7.6908,43.3086,25.0
377,-7.6686,43.4947,52.0
378,-7.5828,43.5538,10.0
379,-7.5836,43.5141,18.0
380,-7.4253,43.4758,23.0
381,-7.635,43.4863,19.0
382,-7.5303,43.4647,34.0
383,-7.5464,43.4338,21.0
384,-7.5386,43.4902,28.0
385,-7.5881,43.4705,22.0
386,-7.5942,43.4619,92.0
387,-7.5539,43.4638,38.0
388,-7.5336,43.5508,30.0
389,-7.4164,43.5911,20.0
390,-7.5389,43.5563,22.0
391,-7.5114,43.5413,325.0
392,-7.4497,43.4627,41.0
393,-7.4461,43.4214,29.0
394,-0.7499,42.4563,43.0
395,-0.7415,42.4535,43.0
396,0.0085,42.573,35.0
397,0.1585,42.5702,35.0
398,0.1891,42.5591,45.0
399,0.1919,42.4369,43.0
400,0.9836,42.323,78.0
401,1.3419,42.3035,183.0
402,1.7503,42.0369,80.0
403,1.2641,41.9868,160.0
404,1.4641,42.023,108.0
405,1.403,42.0535,78.0
406,1.4808,42.0896,60.0
407,1.4975,42.0424,310.0
408,1.3891,42.0063,140.0
409,1.3419,41.9521,35.0
410,1.6753,41.973,88.0
411,1.6503,41.8702,73.0
412,1.6919,41.8591,155.0
413,1.8892,42.0035,85.0
414,1.7058,42.0063,75.0
415,1.581,41.9652,155.0
416,1.6753,41.9535,115.0
417,1.9808,42.0063,80.0
418,1.9753,42.0563,53.0
419,2.1336,41.8896,123.0
420,2.067,41.8063,258.0
421,0.9641,41.3702,223.0
422,0.903,41.3229,188.0
423,0.3002,40.8368,1910.0
424,0.3335,40.7735,1890.0
425,0.3252,40.6824,1010.0
426,0.2224,40.7896,1930.0
427,-0.6276,40.6396,152.0
428,-0.6499,40.6229,159.0
429,-0.5249,40.2757,201.0
430,-0.6749,40.3062,199.0
431,-0.7026,40.3229,398.0
432,-1.0193,40.4063,192.0
433,-1.3527,40.3396,174.0
434,-1.3582,40.3201,112.0
435,-0.8943,40.0229,153.0
436,-1.0138,40.0368,253.0
437,-0.986,40.0396,173.0
438,-1.1832,40.1285,195.0
439,-1.2027,40.1785,153.0
440,-1.386,40.2618,95.0
441,-1.3444,40.1896,80.0
442,-1.5039,43.2488,208.0
443,-1.5394,43.156,250.0
444,-1.6667,43.1463,250.0
445,-1.6695,43.1745,250.0
446,-1.6689,43.1806,250.0
447,-1.7787,43.0082,250.0
448,-2.004,43.0623,228.0
449,-1.902,43.2031,250.0
450,-1.902,43.2053,250.0
451,-1.8578,43.167,250.0
452,-1.682,43.2442,250.0
453,-1.7208,43.262,250.0
454,-1.6833,43.2531,250.0
455,-1.6608,43.2933,250.0
456,-1.6522,43.2597,250.0
457,-1.4249,40.0229,67.0
458,-1.511,39.9729,266.0
459,-1.6027,40.0896,179.0
460,-1.6305,40.0285,2651.0
461,-1.8083,39.7896,452.0
462,-1.8333,39.7868,224.0
463,-1.9249,39.8757,1244.0
464,-2.1,39.8562,73.0
465,-2.2472,39.9731,82.0
466,-2.0416,40.0229,536.0
467,-2.0416,40.0285,1084.0
468,-2.3944,40.0729,227.0
469,-2.0444,40.1229,89.0
470,-2.0456,40.0495,102.0
471,-2.1861,40.1868,464.0
472,-1.9249,40.2257,1401.0
473,-2.0138,40.259,445.0
474,-1.8333,40.3701,75.0
475,-1.8833,40.3896,729.0
476,-2.1583,40.3868,94.0
477,-2.2611,40.4451,85.0
478,-2.1583,40.459,174.0
479,-2.0916,40.4951,273.0
480,-2.0111,40.5896,145.0
481,-2.1027,40.5896,990.0
482,-2.0805,40.5868,143.0
483,-2.2777,40.5729,221.0
484,-2.1861,40.609,625.0
485,-2.25,40.7257,43.0
486,-2.3639,40.6424,700.0
487,-2.2138,40.6924,873.0
488,-2.1861,40.7229,105.0
489,-2.1527,40.7979,583.0
490,-2.1277,40.659,345.0
491,-2.1166,40.6563,503.0
492,-3.325,41.6452,63.0
493,-3.3139,41.6396,68.0
494,-4.8695,40.4563,83.0
495,-2.3639,38.6562,1049.0
496,-2.35,38.6423,1072.0
497,-2.3666,38.6118,1038.0
498,-2.38,38.5562,1642.0
499,-2.4027,38.5395,483.0
500,-2.2889,38.4729,238.0
501,-2.6805,38.4201,555.0
502,-2.2666,38.134,122.0
503,-2.3,38.0951,1070.0
504,-4.0042,40.7877,461.0
505,-4.0112,40.7707,500.0
506,-4.049,40.7596,466.0
507,-4.0684,40.7735,500.0
508,-4.1421,40.6231,279.0
509,-4.1672,40.6008,500.0
510,-4.1357,40.63,427.0
511,-4.1538,40.65,157.0
512,-4.0276,40.7338,500.0
513,-4.0812,40.7315,207.0
514,-4.156,40.6045,237.0
515,-4.199,40.5663,160.0
516,-4.1775,40.5818,281.0
517,-4.1768,40.5773,500.0
518,-4.1378,40.7088,500.0
519,-4.002,40.689,110.0
520,-4.0042,40.6901,156.0
521,-4.0565,40.7732,433.0
522,-4.1349,40.6156,280.0
523,-4.114,40.641,500.0
524,-4.0322,40.7328,393.0
525,-4.0801,40.7438,500.0
526,-4.1689,40.5976,366.0
527,-4.0392,40.6926,500.0
528,-4.0161,40.5779,500.0
529,-4.0051,40.6751,232.0
530,-3.9688,40.577,500.0
531,-4.1118,40.614,500.0
532,-4.0389,40.6899,500.0
