,Longitude,Latitude,Cond electr [mS/m]
639,-2.2339,42.2698,8.0
640,-3.0875,42.2081,9.0
641,-3.0694,42.1686,15.0
642,-2.9,42.2208,11.0
643,-2.845,42.2306,17.0
644,-2.5743,42.2294,8.0
645,-2.7185,42.1737,13.0
646,-2.6033,42.168,10.0
647,-2.5182,42.1292,15.0
648,-2.4651,42.1431,9.0
649,-1.8048,41.7949,9.0
650,-0.8361,42.8303,6.0
651,-0.982,42.4218,11.0
652,-0.1637,42.4836,18.0
653,-3.7233,38.5773,11.0
654,-2.6019,40.5718,27.0
655,-4.8644,40.5681,80.0
656,-4.9668,40.4007,8.0
657,-4.5063,40.8852,17.0
658,-3.9334,41.3507,3.0
659,-2.6025,41.0682,3.0
660,-3.1781,40.5814,26.0
661,-2.016,39.8629,21.0
662,-5.8075,39.9601,25.0
663,-3.9277,41.0166,6.0
664,-4.5261,40.4038,9.0
665,-1.509,41.0895,8.0
666,-2.808,41.1912,12.0
667,-5.7485,40.2182,9.0
668,-4.7769,41.5239,4.0
669,-3.2087,41.1993,14.0
670,-4.3953,40.3412,2.0
671,-1.5697,40.4836,14.0
672,-4.5616,40.9765,2.0
673,-3.1333,41.2007,7.0
674,-2.598,40.6398,22.0
675,-5.1547,41.6963,16.0
676,-2.4788,40.0641,19.0
677,-3.679,40.5363,29.0
678,-3.9285,40.7598,13.0
679,-2.6734,41.8728,6.0
680,-4.4673,39.3351,10.0
681,-4.6635,41.3343,9.0
682,-4.6031,41.4054,26.0
683,-3.2017,40.1012,207.0
684,-5.1672,41.4412,122.0
685,-4.9745,40.4089,6.0
686,-6.5027,42.1,7.0
687,-1.8571,40.1839,30.0
688,-3.5506,40.3263,12.0
689,-1.7117,40.541,8.0
690,-3.8891,40.8898,7.0
691,-4.3834,39.5173,4.0
692,-3.6,38.534,16.0
693,-4.4501,40.7507,20.0
694,-3.4826,41.148,5.0
695,-5.3668,39.584,4.0
696,-1.0999,42.7841,18.0
697,-4.1501,40.734,2.0
698,-1.7666,41.3507,13.0
699,-4.1501,40.8007,3.0
700,-2.9078,37.0318,5.0
701,-1.9659,40.0961,15.0
702,-5.2001,40.634,2.0
703,-4.5001,41.1174,3.0
704,-2.4838,40.1001,28.0
705,-4.4834,40.3507,18.0
706,-5.0668,40.2174,2.0
707,-3.0333,40.5674,66.0
708,-5.7668,40.034,4.0
709,-3.1833,41.0674,10.0
710,-4.0667,40.9174,12.0
711,-0.8207,38.4762,25.0
712,-6.8836,43.5008,17.0
713,-0.7499,38.5173,23.0
714,-2.3138,40.6668,38.0
715,-4.5667,41.5481,14.0
716,-3.9334,41.2507,4.0
717,-5.0001,40.284,6.0
718,-2.7417,41.9174,11.0
719,-0.6715,38.5193,14.0
720,-3.9334,41.0007,5.0
721,-5.5001,41.517,9.0
722,-3.3634,41.1482,22.0
723,-1.9666,40.2007,27.0
724,-5.5014,41.5174,2.0
725,-0.5006,38.7518,23.0
726,-4.5668,40.3174,5.0
727,-4.5167,41.3314,2.0
728,-2.8833,40.684,9.0
729,-4.5167,41.4148,11.0
730,-4.5334,40.0674,4.0
731,-6.9002,39.4507,3.0
732,-0.8332,38.5506,33.0
733,-3.7334,38.434,5.0
734,-4.95,41.4981,6.0
735,-4.3042,42.9975,4.0
736,-1.7166,40.8674,5.0
737,-2.6,41.0674,6.0
738,-1.8907,43.1138,4.0
739,-1.8509,43.144,6.0
740,-1.7341,43.2285,4.0
741,-1.717,42.985,9.0
742,-1.6724,43.0075,3.0
