,Longitude,Latitude,Sand [%]
541,2.1892,41.6424,39.1
542,2.2072,41.6035,70.1
543,1.5058,41.4729,38.0
544,1.5669,41.4882,78.8
545,1.4919,41.4479,11.7
546,1.8753,41.3313,18.0
547,1.9031,41.3146,5.7
548,1.8775,41.3299,42.6
549,1.4016,41.4563,20.5
550,1.3975,41.4646,14.0
551,1.3786,41.4224,14.9
552,0.7766,41.009,23.2
553,0.7724,41.009,21.6
554,-0.861,41.9938,20.1
555,-0.8527,41.9841,27.6
556,-1.0544,41.3398,67.4
557,-0.8999,41.4604,24.7
558,-0.0665,41.3591,21.0
559,-0.0693,41.3424,28.0
560,-0.5249,41.7674,14.0
561,-0.5443,41.7757,25.2
562,-0.3776,41.7007,18.0
563,-0.3971,41.7174,25.0
564,0.853,41.4702,17.0
565,0.8502,41.4646,20.8
566,0.8808,41.4535,18.8
567,-0.4193,41.1202,49.1
568,-0.3499,41.009,47.9
569,-0.1748,40.9229,31.6
570,0.1002,40.8507,33.6
571,0.0863,40.8646,36.1
572,-0.0248,40.8007,60.1
573,-0.0526,40.7952,38.6
574,-0.0776,40.784,38.2
575,-0.911,42.1341,31.3
576,-0.9319,42.2559,32.7
577,2.1855,42.3009,41.2
578,2.0692,42.2599,12.8
579,2.1142,42.2994,28.9
580,2.1281,42.298,34.8
581,2.1281,42.2835,26.7
582,2.1781,41.9118,30.5
583,2.1809,41.9118,16.0
584,2.2114,41.9618,21.4
585,2.3289,41.8993,69.0
586,2.4198,41.951,51.6
587,2.417,41.9355,75.9
588,2.4031,41.9591,69.0
589,2.0086,42.2341,30.0
590,2.0156,42.2327,29.9
591,1.86,42.2507,13.6
592,1.7578,42.2196,47.0
593,1.7286,42.2341,16.0
594,1.678,42.2257,26.0
595,1.2614,42.3341,47.4
596,1.7483,42.3285,45.0
597,1.7905,42.3341,24.1
598,1.3378,42.428,39.7
599,1.3169,42.4299,50.1
600,1.1794,42.448,47.7
601,1.3244,42.5952,37.0
602,1.3419,42.5377,31.3
603,0.2307,42.6346,38.3
604,-0.0717,42.6481,48.5
605,0.1991,42.6327,44.3
606,-0.6561,42.7453,36.4
