,Longitude,Latitude,Carb [%]
436,1.4003,41.8007,23.5
437,1.4169,41.7841,32.8
438,1.3752,41.7196,2.8
439,1.2975,41.6052,5.9
440,1.3919,41.7757,8.5
441,1.4003,41.7757,37.2
442,1.4003,41.7841,39.1
443,1.3919,41.7924,21.4
444,0.5835,41.5257,44.7
445,0.4335,41.3007,46.2
446,0.4169,41.3174,37.4
447,-7.123,42.6658,0.8
448,-3.5,40.8507,3.8
449,-3.3,40.5674,1.7
450,-3.2667,40.5174,8.8
451,-3.6667,40.3507,11.6
452,-3.5334,40.4174,11.9
453,-3.3,40.384,6.6
454,-3.6,40.3174,35.0
455,-3.4,40.2507,0.5
456,-3.35,40.184,5.9
457,-3.6,40.1674,7.2
458,-3.5834,40.1174,4.3
459,-3.7667,39.9674,12.2
460,-3.6167,40.0507,18.8
461,-3.35,40.084,36.0
462,-3.3,40.1007,1.0
463,-3.25,40.1507,46.9
464,-3.5834,40.1674,0.7
465,-3.7667,39.934,12.4
466,-3.7834,39.934,19.2
467,-4.6501,37.1006,34.4
468,-4.6501,37.0006,20.1
469,-4.6168,37.0839,2.0
470,-4.7668,36.8506,2.9
471,-4.5134,36.9653,3.4
472,-4.4504,36.9839,1.8
473,-4.6234,36.72,3.2
474,-4.6987,36.6945,18.8
475,-4.6584,36.7089,1.3
476,-4.5923,36.6867,11.0
477,-4.3667,36.7673,0.9
478,-4.7668,36.5673,1.0
479,-4.6606,36.6934,31.8
480,-4.6254,36.7495,2.6
481,-4.5695,36.6887,3.0
482,-1.2999,38.584,47.5
483,-1.4894,38.3523,47.1
484,-1.3407,38.3415,53.6
485,-1.7874,38.3109,28.5
486,-1.8233,38.2301,50.4
487,-1.8347,38.2031,69.6
488,-1.5494,38.209,49.2
489,-1.4832,38.3006,46.0
490,-1.4999,38.234,62.0
491,-1.4666,38.2006,7.4
492,-1.3666,38.3006,42.0
493,-1.2999,38.3006,2.6
494,-1.2832,38.2506,41.3
495,-0.8666,37.7006,10.3
496,-1.051,38.3254,33.1
497,-2.2833,38.0173,62.5
498,-1.9666,38.2673,56.5
499,-1.7999,38.0173,60.4
500,-1.7499,38.0173,11.2
501,-1.5666,38.084,11.8
502,-1.4663,38.1359,50.6
503,-1.4232,38.0723,58.8
504,-0.8332,37.6839,27.5
505,-1.1332,38.1006,0.8
506,-2.1119,37.982,37.7
507,-1.9091,37.9131,58.7
508,-1.5499,37.9006,4.6
509,-1.4666,37.984,52.5
510,-1.4166,37.9673,36.1
511,-1.3666,37.934,53.6
512,-1.0666,37.8673,48.8
513,-1.1499,37.9506,47.0
514,-0.7999,37.8506,27.4
515,-1.9666,37.784,45.8
516,-1.8166,37.7673,66.6
517,-1.6999,37.7173,29.0
518,-1.6499,37.7673,59.6
519,-1.5333,37.7006,48.9
520,-1.6249,37.4839,10.8
521,-1.2827,37.6659,20.2
522,-1.1832,37.734,26.4
523,-1.0735,37.7692,26.4
524,-1.0166,37.6839,29.2
525,-0.9166,37.7506,32.0
526,-0.9332,37.834,81.2
