,Longitude,Latitude,TOC [%]
282,-5.1564,43.1942,7.49
283,-5.1283,43.1458,2.31
284,-5.2164,43.1033,2.63
285,-5.2217,43.1106,4.5
286,-5.2914,43.1445,1.43
287,-5.3061,43.1008,2.42
288,-5.3217,43.1111,3.9
289,-5.3861,43.2756,2.38
290,-5.3967,43.2725,1.13
291,-5.368,43.2333,7.95
292,-5.4778,43.2156,3.54
293,-5.4517,43.1889,1.34
294,-5.4372,43.192,1.76
295,-5.4255,43.1967,9.7
296,-5.4781,43.1533,9.7
297,-5.4025,43.0597,4.56
298,-5.4606,43.0736,3.1
299,-5.5189,43.1028,3.59
300,-5.5889,43.0681,7.98
301,-5.525,43.2917,7.06
302,-5.6586,43.2222,3.98
303,-5.643,43.2228,10.01
304,-5.6244,43.1961,8.37
305,-5.6694,43.1325,4.81
306,-5.6903,43.1247,3.87
307,-5.675,43.1272,7.37
308,-5.6883,43.1147,13.26
309,-5.7611,43.01,2.84
310,-5.7658,43.0008,5.27
311,-5.7928,42.9864,6.15
312,-5.8011,42.9861,9.74
313,-5.7783,43.1836,5.33
314,-5.8336,43.2256,1.7
315,-5.9264,43.2392,3.98
316,-5.925,43.185,4.53
317,-5.9053,43.1442,4.43
318,-5.8961,43.1397,9.1
319,-5.9086,43.0611,3.57
320,-5.8925,42.9925,3.8
321,-6.0086,43.0625,4.32
322,-5.9856,43.0911,8.26
323,-5.9772,43.185,2.77
324,-6.0033,43.1639,10.29
325,-6.0728,43.137,2.67
326,-6.0472,43.0967,7.49
327,-6.0408,43.085,4.2
328,-6.1325,43.2378,5.21
329,-6.1078,43.1975,4.44
330,-6.1605,43.1633,4.15
331,-6.0942,43.0589,6.35
332,-6.1169,43.0536,5.05
333,-6.1455,43.0508,4.15
334,-6.2394,43.057,5.03
335,-6.2383,43.0336,4.37
336,-6.3233,43.0617,3.04
337,-6.32,43.0917,3.04
338,-6.3364,43.1431,4.0
339,-6.2911,43.2233,4.05
340,-6.253,43.2278,4.93
341,-6.2678,43.28,6.86
342,-6.2825,43.4531,4.98
343,-6.3544,43.3781,6.08
344,-6.3992,43.3717,2.62
345,-6.3742,43.3442,4.33
346,-6.47,43.3303,6.09
347,-6.3722,43.3097,9.32
348,-6.4286,43.2261,4.37
349,-6.4458,43.1781,5.15
350,-6.4658,43.0995,11.49
351,-6.4647,43.0711,3.89
352,-6.4697,43.05,6.05
353,-6.4283,43.07,2.84
354,-6.3772,43.06,4.52
355,-6.4275,42.9939,3.38
356,-6.4864,42.9739,5.39
357,-6.448,42.9461,3.16
358,-6.5264,42.9392,5.55
359,-6.5747,42.982,3.63
360,-6.6189,42.9542,2.61
361,-6.7872,42.9172,3.98
362,-6.743,42.9453,7.92
363,-6.7025,42.9425,4.85
364,-6.7472,43.0222,3.18
365,-6.7225,43.0428,4.16
366,-6.6789,43.0325,5.85
