,Longitude,Latitude,C/N
553,-5.2668,40.684,12.5
554,-4.9862,40.3174,15.22
555,-4.6195,40.2049,9.38
556,-4.5001,40.384,21.67
557,-4.5001,40.334,17.98
558,-3.9028,41.6507,5.02
559,-3.3334,42.3674,4.67
560,-3.5417,42.0674,16.91
561,-3.3167,42.0174,13.89
562,-3.125,41.9341,4.24
563,-3.1333,42.3091,15.52
564,-3.4393,42.0626,22.05
565,-3.3806,41.8923,4.6
566,-2.9667,41.9674,16.92
567,-3.1861,42.3341,9.32
568,-4.7445,40.4618,5.57
569,-4.0042,40.7877,15.57
570,-4.0112,40.7707,21.73
571,-4.049,40.7596,19.67
572,-4.0684,40.7735,13.18
573,-4.1421,40.6231,15.45
574,-4.1672,40.6008,12.77
575,-4.1357,40.63,14.41
576,-4.1538,40.65,23.42
577,-4.0276,40.7338,14.03
578,-4.0812,40.7315,12.68
579,-4.156,40.6045,24.5
580,-4.199,40.5663,13.02
581,-4.1775,40.5818,15.56
582,-4.1768,40.5773,14.34
583,-4.1378,40.7088,18.14
584,-4.002,40.689,20.93
585,-4.0042,40.6901,24.42
586,-4.0565,40.7732,21.93
587,-4.1349,40.6156,17.86
588,-4.114,40.641,13.02
589,-4.0322,40.7328,13.01
590,-4.0801,40.7438,15.22
591,-4.1689,40.5976,20.51
592,-4.0392,40.6926,12.21
593,-4.0161,40.5779,13.32
594,-4.0051,40.6751,12.5
595,-3.9688,40.577,24.19
596,-4.1118,40.614,11.52
597,-4.0389,40.6899,14.6
598,-4.0825,40.589,12.86
599,-4.0101,40.6774,13.43
600,-3.9609,40.6036,16.36
601,-3.9603,40.5581,13.6
602,-4.0239,40.5094,13.23
603,-4.0341,40.517,9.3
604,-3.9767,40.5517,17.01
605,-3.9217,40.9318,9.71
606,-3.8385,40.8323,13.11
607,-3.8041,40.83,9.8
608,-3.7688,40.8537,11.63
609,-3.7762,40.8771,9.53
610,-3.7864,40.9401,8.77
611,-3.6427,40.9436,9.98
612,-3.7987,40.9742,12.31
613,-3.7475,41.0126,12.98
614,-3.8739,40.909,8.39
615,-3.9601,40.816,10.2
616,-3.9139,40.8329,16.55
617,-3.6753,41.0556,11.15
618,-3.8534,40.7867,15.5
619,-3.9992,40.8549,13.42
620,-4.0167,40.8674,18.73
621,-4.0462,40.8451,19.53
622,-3.9072,41.018,14.94
623,-4.1794,40.7079,12.5
