,Point_ID,Clay,Sand,Silt,pH(CaCl2),pH(H2O),EC,OC,CaCO3,P,N,K,Latitude,Longitude,Date,Date Before,Date After,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,NDVI
332,45963828,,,,3.9,4.11,18.97,39.3,0,12.3,2.3,43.9,57.474874878,14.581590457,2015-07-02,2015-06-15,2015-07-19,5136,4858,4767,4836,4953,5575,5852,5630,5924,3515,466,3628,3162,0.07586470475826486
333,45883824,,,,3.7,4.08,22.7,61.0,0,15.9,3.5,58.5,57.443530894,14.444353097,2015-07-01,2015-06-14,2015-07-18,5891,5838,5871,6043,5944,6480,6792,6651,6915,2805,165,3861,3368,0.04789664408381913
334,45923810,,,,4.0,4.6,18.67,59.6,0,43.0,3.6,63.7,57.315710645,14.495590889,2015-07-01,2015-06-14,2015-07-18,3649,3870,3877,3595,3712,4677,5059,5128,5218,1871,116,2953,2376,0.17574229049638887
335,46684724,,,,3.2,3.89,7.83,38.4,0,21.9,1.1,74.7,65.458027133,17.44727176,2015-07-14,2015-06-27,2015-07-31,7068,6622,6117,6439,6475,6685,6955,6505,7095,3229,108,3410,2406,0.005098887515451175
336,46724718,,,,3.7,4.16,72.9,214.9,0,43.0,9.6,90.6,65.400326935,17.517332444,2015-07-14,2015-06-27,2015-07-31,8590,8537,7983,8501,8599,8720,9001,8719,9130,3921,202,5308,3603,0.012659698025551685
337,47364140,,,,3.8,4.31,7.12,51.5,0,15.6,2.9,49.0,60.16351554,17.470315275999997,2015-06-12,2015-05-26,2015-06-29,3688,3832,3770,3633,3831,4643,4909,5319,5050,2689,65,3284,2488,0.18833780160857908
338,47103988,,,,4.1,4.43,45.5,74.1,0,29.2,6.3,96.9,58.827323401,16.7333717,2015-10-17,2015-09-30,2015-11-03,5121,5217,4782,4897,4711,4848,4953,5131,4950,1515,394,3715,2611,0.023334662943757477
339,45003694,,,,5.4,5.73,16.69,16.0,0,33.7,2.1,117.7,56.317129482,12.891274522,2015-10-31,2015-10-14,2015-11-17,4583,4399,4113,4893,5441,6154,6667,5944,7117,2158,23,5979,4981,0.09698255974900803
340,44983680,,,,5.8,6.14,19.3,13.1,0,42.3,1.5,116.2,56.192134059,12.849763933,2015-11-02,2015-10-16,2015-11-19,1792,1302,865,691,670,753,770,693,713,248,19,397,209,0.001445086705202312
341,45063684,,,,6.1,6.48,21.8,19.8,0,11.5,2.1,129.8,56.225134177,12.981178924000002,2015-11-02,2015-10-16,2015-11-19,1886,1453,928,730,751,870,913,836,935,320,23,773,515,0.06768837803320563
