,Point_ID,Clay,Sand,Silt,pH(CaCl2),pH(H2O),EC,OC,CaCO3,P,N,K,Latitude,Longitude,Fecha,FechaAntes,FechaDespues,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B1dx,B2dx,B3dx,B4dx,B5dx,B6dx,B7dx,B8dx,B9dx,B10dx,B11dx,B12dx,B1dx2,B2dx2,B3dx2,B4dx2,B5dx2,B6dx2,B7dx2,B8dx2,B9dx2,B10dx2,B11dx2,B1cr,B2cr,B3cr,B4cr,B5cr,B6cr,B7cr,B8cr,B9cr,B10cr,B11cr,B12cr,NDVI
558,31442278,,,,7.7,8.16,16.3,8.3,147,13.4,1.2,145.0,42.590490448000004,-4.3932419110000005,2015-07-21,2015-07-04,2015-08-07,1464,1452,1709,2329,2508,2813,3062,3029,3341,1228,23,4158,2943,-241448692.15291736,3813056379.8219595,5916030534.351149,4531645569.620253,8379120879.120859,5886524822.695035,-660000000.0000007,9780564263.322895,-26281094527.363182,-2812791783.3800178,17214820982.514584,-2063869543.060982,8.157957891297534e+16,3.1201396951471656e+16,-1.3209780197813902e+16,9.740443821520522e+16,-6.847791363807193e+16,-1.5476418020555638e+17,2.0881128526645814e+17,-1.1304595232190008e+18,2.91894312736109e+17,4.674979637230298e+16,-8.02609930290407e+16,1.0,0.8553648105839499,0.8484723783787097,0.9291383979356779,0.9315736291637744,0.9824505427654481,1.0,0.9370950085332935,1.0,0.3581533056516038,0.005903501684281675,1.0,0.13064576334453154
559,32382250,,,,7.2,7.28,224.0,31.3,279,9.0,3.2,535.0,42.497448086999995,-3.208656607,2015-07-13,2015-06-26,2015-07-30,1301,1166,1153,1400,1497,1759,1966,1973,2215,705,14,2945,1937,-2716297786.72032,-192878338.2789318,2356870229.007635,2455696202.5316453,7197802197.80218,4893617021.276595,140000000.00000015,7586206896.551733,-18781094527.363182,-1612978524.7432303,12202331390.50792,-1712247324.6135554,5.077302713161745e+16,3.783009743748616e+16,942995930572616.9,1.200533163359629e+17,-6.330179056388955e+16,-1.1237865298526229e+17,1.489241379310348e+17,-8.26561173163478e+17,2.135337811271138e+17,3.2248622584619856e+16,-5.792913703214606e+16,1.0,0.8277463555252453,0.7416583517693888,0.7858069537797074,0.8017523126079394,0.9039063276292384,0.9648536633416034,0.9194240908577923,1.0,0.3074091517453006,0.005164349538700362,1.0,0.16987844648680703
560,35702100,,,,7.7,8.21,19.36,9.6,277,0.0,1.3,149.9,41.598939580999996,1.003098943,2015-07-21,2015-07-04,2015-08-07,1729,1732,1878,2481,2669,2944,3250,3039,3595,662,18,4506,3344,60362173.03822934,2166172106.8249264,5753816793.893133,4759493670.886076,7554945054.945037,7234042553.191489,-4220000000.000005,17429467084.63952,-36480099502.48756,-1503267973.8562088,18684429641.965042,-1973840665.8739598,4.237042120295163e+16,5.32291496597657e+16,-9487816059227652.0,7.077092111541673e+16,-8816002795427113.0,-2.7078114782958614e+17,4.329893416927909e+17,-1.689955065427183e+18,4.350352180178028e+17,4.712347716111402e+16,-8.600445590274362e+16,1.0,0.8876274700260658,0.8336676490781082,0.9116683744933245,0.9209683060133683,0.9618320772013705,1.0,0.8781656522889654,1.0,0.17926826984379837,0.004271630587409722,1.0,0.10108695652173913
561,30942294,,,,5.4,6.18,6.43,9.2,1,13.4,1.2,100.9,42.643983950999996,-5.027561423,2015-06-27,2015-06-10,2015-07-14,1436,1406,1558,2027,2202,2538,2846,2857,3133,1155,16,4206,3082,-603621730.3822935,2255192878.3382797,4475190839.694659,4430379746.835443,9230769230.769209,7281323877.068558,220000000.00000024,8652037617.554869,-24601990049.751244,-2658730158.730158,17443796835.970036,-1909291659.588925,5.752142069860306e+16,3.293765521300267e+16,-427586763923823.6,1.2152884769452573e+17,-5.355619103573205e+16,-1.6693437061627795e+17,1.6864075235109757e+17,-1.0424460083795032e+18,2.7292611804752595e+17,4.692466618744209e+16,-8.057072645944618e+16,1.0,0.8562476923170587,0.8108342440779158,0.8603704952658467,0.8739057801692873,0.9503372081962246,1.0,0.9456464544163494,1.0,0.3555838328977327,0.004143043700329888,1.0,0.16994266994266993
562,31702280,,,,7.6,7.99,14.36,14.1,330,6.1,1.3,407.2,42.652425722,-4.085770154,2015-06-25,2015-06-08,2015-07-12,1233,1177,1207,1544,1617,1801,1989,1917,2036,865,12,2268,1856,-1126760563.380281,445103857.5667657,3215648854.961834,1848101265.8227847,5054945054.945043,4444444444.444445,-1440000000.0000017,3730407523.5109763,-14564676616.915422,-1991129785.2474318,9392173189.009165,-699847120.7745881,3.16270507232806e+16,4.110600886342832e+16,-1.304911821697567e+16,8.11859187119559e+16,-1.677199479397243e+16,-1.3911216180719731e+17,1.0340815047021966e+17,-5.7351360941775616e+17,1.5638739840383072e+17,2.657166894084172e+16,-4.2015072064045624e+16,1.0,0.8760850177220564,0.8082776548134576,0.8944211690109873,0.8913708906079583,0.9504096402666273,1.0,0.9500947357655806,1.0,0.41971880585907073,0.005470462182234802,1.0,0.10777232013868823
563,31642270,,,,7.1,7.56,11.73,5.6,2,31.1,0.7,139.3,42.553798866,-4.136503985,2015-06-25,2015-06-08,2015-07-12,1542,1675,1944,2726,3050,3529,3908,3941,4329,1445,19,4327,2913,2676056338.0281677,3991097922.8486657,7461832061.068707,8202531645.569619,13159340659.340628,8959810874.70449,660000000.0000007,12163009404.38873,-35870646766.16915,-3328664799.2530336,17935054121.565376,-2401902497.0273485,2.6459589231800748e+16,5.149457178368016e+16,7067744126917101.0,1.2548883579167109e+17,-1.1537169738011338e+17,-1.9621302304265933e+17,2.3006018808777485e+17,-1.505757246725954e+18,4.047510194890064e+17,4.963519822786742e+16,-8.466676360779658e+16,1.0,0.8872988316331901,0.8249037296404909,0.8834274652160522,0.90760259849755,0.97655376724227,1.0,0.9462137717697717,1.0,0.33381188838576253,0.004390382264669679,1.0,0.18224088795560225
564,32002224,,,,7.1,7.23,15.07,63.1,56,6.1,5.6,558.2,42.205936021,-3.610938925,2015-07-12,2015-06-25,2015-07-29,1239,1206,1285,1757,1963,2230,2542,2632,2999,1020,16,2926,1664,-663983903.4205228,1172106824.9258163,4503816793.893132,5215189873.417721,7335164835.164818,7375886524.822695,1800000000.000002,11504702194.35738,-24614427860.696514,-2343604108.30999,12114904246.46129,-2143706471.8872092,3.694347541944342e+16,4.943189864936671e+16,6787911064165926.0,5.367025219612903e+16,1118727737853760.1,-1.31817648340962e+17,1.9409404388714778e+17,-1.1322611302524745e+18,2.7700029542769306e+17,3.375001950226722e+16,-5.936141015132602e+16,1.0,0.83386364753494,0.7439015356250188,0.8117499195315973,0.8427789794103703,0.8988276825096037,0.9565645414710092,0.9183667732178853,1.0,0.3410043770218094,0.005424812523929334,1.0,0.19936204146730466
565,32322252,,,,7.5,7.65,230.0,9.5,107,0.0,0.9,83.2,42.505695851,-3.284558929,2015-07-13,2015-06-26,2015-07-30,1585,1795,1932,2286,2523,2856,3149,2964,3453,1010,17,3614,2084,4225352112.676054,2032640949.5548966,3377862595.4198494,6000000000.0,9148351648.351625,6926713947.990543,-3700000000.0000043,15329153605.015692,-30385572139.303482,-2317927170.8683467,14975020815.986689,-2598946832.002718,-4.411893688372548e+16,1.9958778128560136e+16,2.5020395081871684e+16,7.970510502156013e+16,-6.103400275717244e+16,-2.5122255196195146e+17,3.805830721003144e+17,-1.4330635029567158e+18,3.491000617964569e+17,4.0366358512733496e+16,-7.316389528721656e+16,1.0,0.9897699262941169,0.9098180026693328,0.8773950325134542,0.9052464104149002,0.9666684812578441,1.0,0.8888643153446447,1.0,0.29104260958601225,0.004772106343202332,1.0,0.12914285714285714
566,32362252,,,,7.5,7.78,36.3,31.3,114,46.2,3.1,621.9,42.512035128,-3.236600326,2015-07-13,2015-06-26,2015-07-30,1481,1535,1749,2402,2661,2949,3284,3309,3654,1126,15,3631,2332,1086519114.6881282,3175074183.976262,6230916030.534355,6556962025.316455,7912087912.0878935,7919621749.408983,500000000.00000054,10815047021.943586,-31442786069.65174,-2593370681.605975,15054121565.36221,-2206556820.1121116,4.202324083074714e+16,4.533889980056519e+16,3111125904409350.5,3.4306984475226292e+16,206973552777190.28,-1.7540476948957405e+17,2.0630094043887197e+17,-1.3246969621189775e+18,3.588235744781811e+17,4.119395949338978e+16,-7.185961026425617e+16,1.0,0.8799190355187921,0.8321471129630784,0.9038989623288484,0.9282187151631864,0.9638037461267136,1.0,0.9427658704040499,1.0,0.3083637977199827,0.0041227185238972355,1.0,0.1588163193836456
567,35022040,,,,7.6,8.06,18.7,31.6,440,18.8,1.8,290.3,40.985197717,0.280572377,2015-06-20,2015-06-03,2015-07-07,1458,1416,1575,1892,1930,2427,2751,2833,3008,611,18,3307,2462,-845070422.5352108,2359050445.103858,3024809160.3053455,962025316.4556961,13653846153.84612,7659574468.085106,1640000000.000002,5485893416.927906,-29813432835.820892,-1384220354.8085897,13692756036.636147,-1435366060.8119586,6.4469232749277e+16,9877725744829194.0,-1.9683051945130256e+16,3.213119199339348e+17,-1.6467779356486266e+17,-1.4230672501383224e+17,7.691786833855816e+16,-1.1065619514968288e+18,3.5359717016184454e+17,3.5193689055659972e+16,-6.298135760802713e+16,1.0,0.8597707773528153,0.8275564322551071,0.822028085707077,0.7871778820323894,0.936999472824584,1.0,0.9742430305399509,1.0,0.20098052218511153,0.0056055340533075395,1.0,0.1991534391534392
568,29921720,,,,7.4,7.86,18.79,17.3,381,12.2,1.5,469.5,37.379484443,-4.994924183999999,2015-06-28,2015-06-11,2015-07-15,1637,1812,2147,3068,3192,3444,3803,3788,4171,1228,17,4701,3292,3521126760.5633783,4970326409.49555,8788167938.931303,3139240506.3291135,6923076923.076906,8486997635.933805,-300000000.00000036,12006269592.476503,-36604477611.94029,-2826797385.6209145,19500416319.73357,-2393409206.726686,2.9158946658594988e+16,5.664453307768181e+16,-5.3901979318723224e+16,9.579332700627323e+16,4.296485474881581e+16,-2.07730440565811e+17,2.4612539184953034e+17,-1.52384787474661e+18,4.2012040082486784e+17,5.211767905078076e+16,-9.114831609683709e+16,1.0,0.9256667687299563,0.897515054055948,1.0,0.9632964068485188,0.9728904238546489,1.0,0.9404954804334007,1.0,0.2904520838945132,0.003751904607980038,1.0,0.10501750291715284
569,29541718,,,,7.3,7.85,18.8,8.4,416,45.4,1.1,266.2,37.293596039,-5.410813499,2015-07-21,2015-07-04,2015-08-07,2078,2257,2508,2984,3072,3495,3845,3802,4209,1083,17,4280,3143,3601609657.9476843,3724035608.308606,4541984732.82443,2227848101.2658224,11620879120.879093,8274231678.486998,-860000000.000001,12758620689.655188,-38880597014.92537,-2488328664.7992525,17747710241.465458,-1931374214.3706472,2463298800018547.0,1.2135743687178406e+16,-2.2081456408002e+16,2.3779825366109542e+17,-9.194086380198043e+16,-2.159392831793617e+17,2.723724137931041e+17,-1.6187842540620884e+18,4.526401536085337e+17,4.723631864207447e+16,-8.192791197267326e+16,1.0,0.9660914001764777,0.9335925883563994,0.9235850182162748,0.8940337916054264,0.9640770145904863,1.0,0.9347903291900013,1.0,0.256840704220509,0.003993206186738039,1.0,0.12054229295608605
570,30001738,,,,7.6,8.1,16.21,2.1,132,8.3,1.0,721.5,37.553563474,-4.941508237,2015-06-25,2015-06-08,2015-07-12,1575,1707,1983,2789,3023,3304,3613,3582,4020,1324,15,4298,2709,2655935613.682091,4094955489.6142445,7690839694.656493,5924050632.911392,7719780219.780201,7304964539.0070915,-620000000.0000007,13730407523.510988,-33532338308.45771,-3055555555.555555,17830974188.176533,-2699167657.550535,2.8954122252155984e+16,5.335139770092358e+16,-1.685867425329296e+16,4.546150852832427e+16,-1.1396035186074408e+16,-1.873514075415388e+17,2.870081504702201e+17,-1.4815907784316224e+18,3.7906446210077306e+17,4.875473796389374e+16,-8.547103183067061e+16,1.0,0.9114596980812032,0.8709956628330896,0.960166808096086,0.9623092937817599,0.9834728414503429,1.0,0.927625107231608,1.0,0.32692638377240174,0.003563921428903146,1.0,0.12447025584680585
571,30201726,,,,7.3,7.72,18.26,22.7,550,6.9,1.4,202.0,37.481859756999995,-4.696581529,2015-07-07,2015-06-20,2015-07-24,1751,1869,2073,2547,2775,3405,3763,3722,4175,1318,16,4456,3401,2374245472.837021,3026706231.4540067,4522900763.358782,5772151898.734177,17307692307.692265,8463356973.995272,-820000000.000001,14200626959.247665,-35534825870.64677,-3039215686.274509,18484596169.858463,-1792084253.4397826,1.3127983070764294e+16,2.2198731927370556e+16,1.1920335261215608e+16,2.9203899769514144e+17,-2.429762454312355e+17,-2.194647038769568e+17,3.0041253918495366e+17,-1.5591051043854072e+18,4.0417425602453056e+17,5.024232459414792e+16,-8.441582191214928e+16,1.0,0.9139272319724402,0.8482855009076302,0.8313369218291483,0.8415675250984908,0.9693240590624151,1.0,0.9271330580002963,1.0,0.3134242047271404,0.003664778233516953,1.0,0.18743021215504865
572,30121722,,,,7.6,8.12,16.14,6.2,251,9.2,1.2,354.7,37.432381260999996,-4.777497205,2015-07-07,2015-06-20,2015-07-24,1318,1231,1317,1940,2123,2446,2704,2665,2915,991,15,3139,2554,-1750503018.108651,1275964391.691395,5944656488.549623,4632911392.405063,8873626373.626352,6099290780.141844,-780000000.0000008,7836990595.611295,-23930348258.706467,-2278244631.185807,13005828476.269785,-993714965.1775098,6.089471649497071e+16,6.926842873676898e+16,-1.251665168076871e+16,1.0735987294231112e+17,-7.62180108100138e+16,-1.626309877102091e+17,1.723398119122261e+17,-9.958413433955423e+17,2.6930477148657536e+17,3.5677108093967296e+16,-5.828286195440177e+16,1.0,0.809580265152687,0.7336171309784385,0.8729683257008554,0.8907906239721515,0.9661812867928622,1.0,0.9407601302715946,1.0,0.33718437358694314,0.004890510459598289,1.0,0.15743756786102062
573,29341706,,,,7.6,8.06,15.14,11.7,123,14.6,1.2,493.2,37.150531106,-5.607180521,2015-06-29,2015-06-12,2015-07-16,1525,1365,1377,1714,1799,1946,2179,2180,2477,704,15,3540,2491,-3219315895.3722315,178041543.02670628,3215648854.961834,2151898734.177215,4038461538.461529,5508274231.678487,20000000.000000022,9310344827.586218,-22052238805.970146,-1608309990.6629314,14675270607.82682,-1781892305.0789876,6.835729252311742e+16,4.506835774384464e+16,-1.015028741206698e+16,4.776108365276743e+16,4.0379469593872376e+16,-1.2974643573708006e+17,1.8580689655172458e+17,-9.831530919610158e+17,2.5427772158342304e+17,3.8010225486670744e+16,-6.851441678978276e+16,1.0,0.8337815640811713,0.769631161284888,0.8461733919139802,0.8507122568418655,0.8858282070676236,0.950598619781641,0.9064313310971094,1.0,0.27169867630780903,0.004688815795019914,1.0,0.11967128916281458
574,34221880,,,,7.6,8.03,28.0,18.0,281,105.8,1.7,390.3,39.455451185,-0.421828271,2015-07-02,2015-06-15,2015-07-19,1719,1763,1904,2418,2481,3040,3452,3160,3624,598,17,3752,3071,885311871.2273637,2091988130.563799,4904580152.671759,1594936708.8607593,15357142857.14282,9739952718.676123,-5840000000.000007,14545454545.454563,-37636815920.39801,-1356209150.326797,15549542048.2931,-1156786138.9502294,2.427920038906307e+16,4.172985196005876e+16,-3.1580567211937036e+16,3.4841028223498886e+17,-1.5431841039743638e+17,-3.683203952405704e+17,4.0770909090909184e+17,-1.6358078515941263e+18,4.512513279859603e+17,3.946253781190451e+16,-6.955174099601724e+16,1.0,0.8939032026262667,0.822217103781244,0.8485089424656563,0.8131814936248005,0.9392985114370211,1.0,0.8883875671601009,1.0,0.16438778284555264,0.0045810357997892,1.0,0.1330225887414844
575,34201858,,,,7.7,8.21,19.07,11.0,229,23.5,0.7,289.2,39.255755651,-0.413222556,2015-07-10,2015-06-23,2015-07-27,1623,1525,1692,2271,2415,2752,3102,3004,3464,573,17,3715,2845,-1971830985.9154918,2477744807.1216626,5524809160.305347,3645569620.2531643,9258241758.241735,8274231678.486998,-1960000000.0000021,14420062695.924782,-35957711442.786064,-1297852474.3230622,15395503746.877613,-1477832512.315271,8.952868798867509e+16,4.520866992854133e+16,-1.7931675000497942e+16,1.42092965518698e+17,-2.703324394930592e+16,-2.4194401131174938e+17,3.2760125391849606e+17,-1.5792405686116273e+18,4.3109277323958957e+17,3.896675121662155e+16,-7.024702855617359e+16,1.0,0.828885797427292,0.7929308482042663,0.8764780063797765,0.8739319709737242,0.9417658336440538,0.9984850843622888,0.9035036559922701,1.0,0.16413902479060444,0.004677389777730496,1.0,0.13895734597156398
576,35282080,,,,7.8,8.42,14.31,12.2,440,0.0,1.0,92.0,41.373373097,0.531836864,2015-08-19,2015-08-02,2015-09-05,1539,1507,1623,1932,2246,2576,2757,2709,3165,699,15,3814,2732,-643863179.0744463,1721068249.2581606,2948473282.44275,7949367088.6075945,9065934065.934044,4278959810.8747044,-960000000.0000011,14294670846.395002,-30671641791.044773,-1596638655.4621844,15815986677.768538,-1837948021.06336,4.758413336685323e+16,1.8210757168910828e+16,4.771845234890122e+16,2.826751841332783e+16,-1.3151028173239912e+17,-1.2385247779845638e+17,3.050934169279004e+17,-1.4096022770357312e+18,3.616293922336143e+17,4.06457173978308e+16,-7.349681390021611e+16,1.0,0.870847530133367,0.8154976778344457,0.8070180231491189,0.8821004558050745,0.9588871929382591,0.9675610161364121,0.8905071553060594,1.0,0.21609652047912534,0.004159884407420301,1.0,0.167420814479638
