,Point_ID,Clay,Sand,Silt,pH(CaCl2),pH(H2O),EC,OC,CaCO3,P,N,K,Latitude,Longitude,Date,Date Before,Date After,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,NDVI
425,37942846,,,,6.5,6.66,13.52,11.1,2,25.3,1.4,118.7,48.497621433,2.859272727,2015-07-24,2015-07-07,2015-08-10,1562,1755,2023,2921,2879,3377,3965,4298,4516,1103,17,4110,2293,0.19074664080897633
426,38322856,,,,5.7,6.07,10.22,9.5,0,59.5,1.3,232.7,48.619036343000005,3.35969384,2015-08-04,2015-07-18,2015-08-21,1632,1769,2026,2870,2709,3684,4311,4254,4992,1099,21,4533,2473,0.19427288040426727
427,38102902,,,,6.0,6.35,23.4,21.1,1,114.1,2.5,702.2,49.012494743000005,3.004579756,2015-08-12,2015-07-26,2015-08-29,1679,1605,1658,2062,2285,2681,3023,2984,3431,887,126,3694,2431,0.18271898533491876
428,38102908,,,,7.0,7.25,20.9,8.8,1,58.4,1.3,276.6,49.06618138,2.996936665,2015-08-11,2015-07-25,2015-08-28,1412,1397,1469,2051,2178,2536,2914,2963,3481,869,65,3829,2177,0.18189070602313523
429,38362852,,,,6.9,7.21,12.07,9.9,0,34.0,1.3,189.1,48.586440859,3.4184823239999997,2015-08-04,2015-07-18,2015-08-21,1697,1749,2001,2751,2953,3254,3600,3553,4016,1220,19,4341,2729,0.12722081218274112
430,37823006,,,,7.5,7.79,44.3,18.0,81,58.0,2.2,1323.2,49.917716803999994,2.480734237,2015-07-28,2015-07-11,2015-08-14,1708,1767,1997,2794,3072,3570,4069,4115,4794,951,20,4293,2488,0.19119988420900275
431,37363038,,,,6.5,6.97,25.5,9.5,3,45.5,1.4,159.3,50.159287633999995,1.794505451,2015-06-24,2015-06-07,2015-07-11,5162,5572,5542,5809,5680,6224,6486,6678,6705,2804,45,5808,4783,0.06959237607111396
432,35442600,,,,7.5,7.82,24.3,35.5,143,42.0,4.1,730.8,46.039059293,-0.060181748999899996,2015-07-09,2015-06-22,2015-07-26,1477,1343,1376,1800,1928,2229,2555,2527,2951,608,21,3018,1767,0.1680147908481627
433,33802810,,,,6.5,6.91,20.7,23.9,9,46.3,2.5,255.4,47.679951802,-2.59415881,2015-10-22,2015-10-05,2015-11-08,6304,5837,5387,5742,5878,6123,6323,5972,6430,3225,62,4609,3437,0.019634625234761824
434,37922988,,,,7.3,7.6,36.9,10.4,2,79.2,1.7,225.9,49.765913696000005,2.644128035,2015-08-03,2015-07-17,2015-08-20,4622,4603,4445,4869,5047,5555,5796,5460,5940,2834,54,4901,4238,0.05721754284054604
435,38042978,,,,6.4,6.72,10.28,9.3,0,75.1,1.3,186.9,49.687158011,2.823373882,2015-08-03,2015-07-17,2015-08-20,8373,8113,8034,8923,9223,9572,9794,9111,9961,5527,205,6859,5139,0.010424753243872684
436,38042982,,,,7.3,7.55,16.77,9.0,3,55.0,1.3,305.9,49.722929743,2.818038676,2015-08-03,2015-07-17,2015-08-20,9394,9559,9172,10043,10464,10618,10866,10353,10853,6996,632,5507,4074,0.015199058638948814
437,38002996,,,,6.8,7.0,25.1,10.6,0,38.4,1.6,231.5,49.844588215,2.743902128,2015-08-05,2015-07-19,2015-08-22,2799,2679,2535,2651,2834,3443,3704,3693,3892,1803,77,2699,2127,0.16424968474148802
438,35282704,,,,5.3,5.71,6.82,14.0,0,19.5,1.6,87.7,46.945586363000004,-0.44633653,2015-07-24,2015-07-07,2015-08-10,2583,2333,2492,2978,3319,3968,4388,3893,4729,2082,73,4473,3336,0.13316838888080337
439,40242900,,,,7.4,7.84,22.8,24.6,275,25.5,2.7,473.2,49.139147911,5.928370118999999,2015-09-02,2015-08-16,2015-09-19,1419,1268,1404,1756,1916,2188,2387,2176,2558,615,15,3165,2477,0.10681586978636826
440,38083012,,,,7.5,7.83,22.6,9.5,3,41.5,1.3,254.6,49.994714693,2.83326232,2015-08-06,2015-07-20,2015-08-23,1360,1171,1040,1130,1191,1338,1491,1480,1639,559,10,1992,1310,0.13409961685823754
441,33942840,,,,5.9,6.1,52.2,24.9,1,80.2,3.1,409.9,47.966768441999996,-2.475258077,2015-10-23,2015-10-06,2015-11-09,5703,5215,4801,5050,5254,5497,5667,5408,5703,2985,115,4125,2983,0.03423216676228724
442,40242868,,,,7.4,7.69,35.4,39.4,249,49.7,3.5,360.1,48.851822844,5.951997471,2015-09-18,2015-09-01,2015-10-05,1311,1094,1112,1398,1529,1741,1907,1812,2042,704,14,2963,2454,0.12897196261682242
443,39302802,,,,7.4,7.75,18.71,30.6,62,94.7,3.5,733.0,48.206063025,4.736905398999999,2015-09-17,2015-08-31,2015-10-04,1342,1219,1229,1503,1408,1825,1973,1923,2038,758,10,2236,1631,0.12259194395796848
444,39302654,,,,5.9,6.16,9.05,10.7,0,34.6,1.1,109.0,46.877761113999995,4.870688651,2015-07-28,2015-07-11,2015-08-14,1857,1842,1958,2533,2719,3036,3407,3297,3790,1016,23,4137,3101,0.13104631217838766
445,39342660,,,,7.2,7.43,14.06,19.9,11,52.4,1.7,177.3,46.934111967,4.91781628,2015-07-22,2015-07-05,2015-08-08,1445,1446,1558,1979,1889,2331,2680,2687,2988,890,21,3358,2252,0.15173596228032576
446,38902676,,,,5.7,6.0,33.3,23.4,0,17.8,2.6,56.7,47.049018872,4.326358254,2015-08-11,2015-07-25,2015-08-28,1670,1581,1681,2196,2396,2752,3120,2994,3492,859,18,4483,3794,0.15375722543352602
447,39122658,,,,6.4,6.61,19.77,25.8,1,59.5,3.0,301.1,46.90221279,4.631600884,2015-07-21,2015-07-04,2015-08-07,1363,1420,1527,2021,2179,2428,2719,2627,2991,887,15,3652,2416,0.1303786574870912
448,35962788,,,,6.2,6.55,5.47,4.4,0,17.7,0.5,24.7,47.776760725,0.30039234800000003,2015-07-16,2015-06-29,2015-08-02,5579,6705,6601,7150,7260,7791,8195,8178,8439,4315,215,6683,5677,0.06706680584551149
449,34042790,,,,5.2,5.71,13.26,22.8,0,49.8,2.5,533.9,47.538978902,-2.235563484,2015-10-21,2015-10-04,2015-11-07,7429,7794,7340,7868,7899,8091,8256,8222,8279,3914,52,5343,3672,0.02200124300807955
450,37023010,,,,6.9,7.52,11.57,16.0,1,27.3,1.9,165.9,49.874415963000004,1.366948487,2015-07-06,2015-06-19,2015-07-23,1529,1445,1600,2116,2322,2737,3151,3124,3713,701,15,4074,2656,0.19236641221374046
451,38762734,,,,5.7,5.93,16.51,12.2,0,27.1,1.7,124.7,47.559424119,4.083772361,2015-08-12,2015-07-26,2015-08-29,1406,1291,1321,1653,1803,2039,2256,2175,2514,683,17,3470,2330,0.13636363636363635
452,37682906,,,,6.5,6.69,14.65,14.6,0,42.3,1.5,149.7,49.010949053000004,2.427599653,2015-08-13,2015-07-27,2015-08-30,1465,1268,1162,1298,1409,1592,1777,1760,1990,552,15,2709,1756,0.1510791366906475
453,37362918,,,,7.5,7.83,16.1,10.5,15,19.1,1.3,159.3,49.087742715,1.974923484,2015-08-14,2015-07-28,2015-08-31,3002,2975,2788,2870,3087,3692,4017,3779,4146,1312,17,3448,2649,0.1367122875620394
454,38122734,,,,6.6,6.84,20.1,12.1,1,26.5,1.5,108.7,47.510131338,3.236815661,2015-07-30,2015-07-13,2015-08-16,1519,1608,1818,2397,2644,2998,3380,3266,3714,1022,15,4048,2823,0.1534522337983401
455,38122788,,,,6.6,6.89,10.6,10.1,0,28.4,1.2,113.8,47.993751288999995,3.172601195,2015-07-23,2015-07-06,2015-08-09,1837,1832,1976,2566,2713,3056,3315,3291,3751,1070,18,4218,2916,0.1237835069148028
456,38162794,,,,6.2,6.51,6.65,9.5,0,28.4,1.2,126.0,48.050789578999996,3.218811965,2015-07-24,2015-07-07,2015-08-10,1751,1760,1997,2639,2775,3081,3373,3270,3745,1014,16,4201,3273,0.10678625825012693
457,38022776,,,,6.1,6.43,12.17,9.7,0,25.4,1.2,157.0,47.87792932,3.0538451,2015-07-28,2015-07-11,2015-08-14,1577,1925,2218,3243,3321,3797,4431,4572,5025,982,15,4228,2418,0.17005758157389636
458,38262778,,,,7.5,7.95,21.4,15.8,392,37.9,1.9,339.1,47.91564927,3.371163788,2015-08-03,2015-07-17,2015-08-20,1545,1607,1770,2381,2576,2881,3089,3136,3524,1008,15,3901,2797,0.13684973717600146
459,38282776,,,,7.6,8.0,16.05,19.9,300,25.3,2.0,270.6,47.899343073999994,3.400141915,2015-08-03,2015-07-17,2015-08-20,1593,1600,1807,2608,2798,3108,3513,3548,4045,1105,16,4331,2428,0.15269655620532813
460,38142744,,,,5.1,5.56,11.37,10.8,0,23.8,1.4,88.5,47.601346285,3.251530279,2015-07-30,2015-07-13,2015-08-16,1530,1372,1518,2031,2276,2567,2845,2741,3114,897,15,3766,2667,0.1487845766974015
461,40362794,,,,7.2,7.53,18.16,27.1,39,23.7,3.2,325.2,48.192948852,6.166470777000001,2015-07-16,2015-06-29,2015-08-02,1463,1537,1737,2437,2568,2930,3249,3332,3710,1084,15,4235,2698,0.15513953891488994
462,36602618,,,,4.7,5.24,9.52,33.5,0,20.7,3.4,110.5,46.330570234,1.403345654,2015-10-28,2015-10-11,2015-11-14,6603,6429,5952,6249,6396,6620,6887,6582,7001,3820,1643,3257,2977,0.025952770633621697
463,38122792,,,,6.3,6.62,10.46,11.3,0,59.6,1.3,125.6,48.029568406,3.16778275,2015-07-22,2015-07-05,2015-08-08,1553,1474,1578,2182,2370,2682,3016,3044,3560,988,15,4120,2322,0.16494450822809031
464,38262828,,,,7.0,7.36,13.55,12.7,1,51.0,1.6,240.7,48.363444361000006,3.312214273,2015-07-09,2015-06-22,2015-07-26,1569,1712,1912,2897,2809,3486,4080,4306,4783,1060,17,3399,1728,0.19561293905317229
465,38522782,,,,7.3,7.74,12.84,14.0,17,91.5,1.7,366.5,47.971908323,3.713392288,2015-06-24,2015-06-07,2015-07-11,1306,1380,1609,2342,2547,2914,3375,3406,3902,965,13,4113,2458,0.18510786360473208
466,38542754,,,,7.4,7.79,17.64,22.2,145,31.8,2.6,329.0,47.722491655,3.770777807,2015-06-26,2015-06-09,2015-07-13,1574,1804,2185,3116,3456,3874,4361,4294,5009,1227,18,5003,3009,0.15897435897435896
467,38242818,,,,7.3,7.74,13.49,11.0,7,42.9,1.3,223.4,48.272267395,3.297268602,2015-07-09,2015-06-22,2015-07-26,1675,1724,1969,2911,3380,3902,4432,4353,5242,1275,18,4460,2397,0.19851321585903084
468,38362762,,,,7.4,7.85,17.27,20.2,136,39.9,2.7,196.3,47.780280964,3.5226807589999996,2015-07-13,2015-06-26,2015-07-30,1814,1649,1909,2669,2548,3183,3929,3929,4515,904,16,4175,2340,0.19096695968475297
469,38222806,,,,7.4,7.9,14.34,12.2,109,23.4,1.7,193.6,48.163175173,3.284745827,2015-07-20,2015-07-03,2015-08-06,1491,1208,1165,1316,1356,1508,1654,1611,1817,724,14,2662,2302,0.10078578749572942
470,38262810,,,,7.5,7.98,15.82,12.1,245,27.2,1.7,145.0,48.202253737,3.333588769,2015-07-20,2015-07-03,2015-08-06,1694,1744,1951,2655,2874,3179,3503,3432,3934,988,17,4527,2762,0.12764908822079843
471,38022812,,,,5.6,6.07,13.21,10.0,0,57.4,1.2,125.8,48.200214048,3.009564451,2015-07-21,2015-07-04,2015-08-07,1485,1650,1860,2654,2540,3237,3871,3909,4404,971,17,3781,2319,0.19122352582660368
472,38322816,,,,7.3,7.71,11.79,10.0,1,34.5,1.2,134.8,48.260831083999996,3.406989683,2015-07-08,2015-06-21,2015-07-25,1731,1837,2141,3269,3617,4173,4781,4736,5473,1326,15,4480,2407,0.18326046221111805
473,33462870,,,,4.9,5.47,11.46,41.1,0,50.1,3.6,130.1,48.157313676,-3.1789512089999996,2015-11-02,2015-10-16,2015-11-19,5544,7108,6218,6012,6165,6074,5947,7318,5890,2054,24,4541,2688,0.09797449362340585
474,39722304,,,,7.3,7.67,13.35,11.5,582,5.6,1.8,137.7,43.754618312,5.6743429889999994,2015-07-16,2015-06-29,2015-08-02,3241,2903,2755,2733,3059,3747,4050,4018,4389,2483,821,3697,3187,0.19034217153014368
