,Point_ID,Clay,Sand,Silt,pH(CaCl2),pH(H2O),EC,OC,CaCO3,P,N,K,Latitude,Longitude,Fecha,FechaAntes,FechaDespues,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,NDVI
697,32581696,,,,7.7,8.26,21.6,5.2,123,10.5,0.7,60.7,37.589187278000004,-1.9990318619999998,2015-07-29,2015-07-12,2015-08-15,1967,1942,1977,2196,2310,2566,2755,2479,2841,668,15,2321,1802,0.06053475935828877
698,32581868,,,,7.6,8.15,17.2,15.9,307,30.0,1.5,336.1,39.127221574000004,-2.278443576,2015-07-16,2015-06-29,2015-08-02,1900,1874,2164,3178,3209,3596,3934,3929,4267,1221,24,5286,4375,0.10567046573800479
699,29761960,,,,4.5,4.8,21.4,16.9,1,9.6,2.0,55.3,39.478004904,-5.667289482999999,2015-07-03,2015-06-16,2015-07-20,1298,1217,1259,1626,1785,2040,2321,2291,2618,1321,22,3733,2470,0.16977278529486853
700,29701972,,,,4.1,4.75,4.87,12.3,0,9.3,1.7,63.2,39.572920891,-5.761655837999999,2015-07-06,2015-06-19,2015-07-23,1327,1250,1284,1585,1893,2103,2330,2278,2584,1148,20,3514,2267,0.17939425317111055
701,29721970,,,,4.3,4.95,7.51,12.7,0,9.6,1.7,132.6,39.558974765,-5.73450943,2015-07-06,2015-06-19,2015-07-23,1418,1361,1450,1931,2085,2304,2496,2614,2846,1432,21,4059,2563,0.15027502750275026
702,31921902,,,,7.5,7.61,235.0,13.8,316,80.6,1.5,309.8,39.331244419,-3.090046591,2015-07-14,2015-06-27,2015-07-31,1860,1997,2249,2947,3100,3377,3710,3593,4068,1180,22,4801,3524,0.09877675840978593
703,31802362,,,,5.9,6.08,66.9,83.2,3,9.0,8.6,198.7,43.394765861,-4.141017486,2015-07-25,2015-07-08,2015-08-11,4165,2445,2681,2958,3767,4759,5194,4333,5577,2456,19,4658,3662,0.18858867096420245
704,30582222,,,,7.3,7.71,16.48,9.1,18,52.4,1.1,226.5,41.943365054000004,-5.293623931,2015-07-30,2015-07-13,2015-08-16,1531,1638,1949,2663,2795,3109,3429,3419,3744,1185,18,4369,3029,0.12430121670503123
705,32901910,,,,7.5,7.89,23.3,6.6,270,18.9,1.1,461.9,39.548364385,-1.982700104,2015-07-10,2015-06-23,2015-07-27,1762,1872,2215,3299,3507,3844,4129,3938,4481,1270,22,5209,3790,0.08829625535442863
706,31102234,,,,7.3,7.68,11.34,8.5,8,27.8,1.2,200.7,42.142387471,-4.703453403999999,2015-07-04,2015-06-17,2015-07-21,1626,1736,2082,2944,3178,3471,3835,3783,4236,1351,21,4700,3098,0.12472127248401962
707,30641648,,,,6.3,6.59,5.64,9.9,0,6.4,0.9,38.5,36.861875321,-4.065572362,2015-07-29,2015-07-12,2015-08-15,1501,1411,1522,1756,1868,2108,2350,2195,2531,589,17,2621,1739,0.1111111111111111
708,29981716,,,,7.5,7.96,26.4,9.3,287,18.8,1.1,759.9,37.354518084,-4.920787122,2015-07-01,2015-06-14,2015-07-18,1509,1373,1421,1644,1744,2045,2273,2197,2497,812,15,3058,2199,0.14397292371778184
709,31961694,,,,7.7,7.78,232.0,4.8,267,0.0,0.5,161.0,37.480912806,-2.685859367,2015-07-05,2015-06-18,2015-07-22,2678,2744,3115,3887,3918,4096,4322,4373,4569,1612,21,4337,3271,0.05883777239709443
