,Longitude,Latitude,Silt [%]
450,-8.9698,43.0341,30.0
451,-8.342,43.3008,35.0
452,-2.2333,43.1008,55.4
453,-2.4694,43.2036,40.0
454,-1.9277,43.3174,35.0
455,-2.3286,42.937,63.3
456,-7.695,43.5247,33.0
457,-7.0502,43.0897,72.0
458,-7.3252,42.4507,29.0
459,-7.5503,43.2508,31.0
460,-7.2503,42.9758,58.0
461,-6.9002,42.8008,59.0
462,-7.4875,42.6781,50.0
463,-7.3503,42.9258,49.0
464,-7.1363,42.8841,45.0
465,-7.303,42.6674,76.0
466,-0.7499,42.4563,48.3
467,-0.7415,42.4535,50.0
468,0.0085,42.573,59.1
469,0.1585,42.5702,49.1
470,0.1891,42.5591,59.4
471,0.1919,42.4369,53.2
472,0.9836,42.323,54.0
473,1.3419,42.3035,47.0
474,1.7503,42.0369,40.7
475,1.2641,41.9868,41.9
476,1.4641,42.023,47.1
477,1.403,42.0535,32.2
478,1.4808,42.0896,51.9
479,1.4975,42.0424,41.6
480,1.3891,42.0063,54.7
481,1.3419,41.9521,36.1
482,1.6753,41.973,67.6
483,1.6503,41.8702,55.4
484,1.6919,41.8591,58.0
485,1.8892,42.0035,34.1
486,1.7058,42.0063,63.2
487,1.581,41.9652,60.8
488,1.6753,41.9535,61.6
489,1.9808,42.0063,29.7
490,1.9753,42.0563,27.5
491,2.1336,41.8896,60.1
492,2.067,41.8063,59.3
493,0.9641,41.3702,26.2
494,0.903,41.3229,48.3
495,0.3002,40.8368,61.2
496,0.3335,40.7735,64.0
497,0.3252,40.6824,59.1
498,0.2224,40.7896,71.0
499,-0.6276,40.6396,40.0
500,-0.6499,40.6229,56.4
501,-0.5249,40.2757,50.2
502,-0.6749,40.3062,50.1
503,-0.7026,40.3229,42.7
504,-1.0193,40.4063,58.1
505,-1.3527,40.3396,65.7
506,-1.3582,40.3201,55.6
507,-0.8943,40.0229,27.9
508,-1.0138,40.0368,42.5
509,-0.986,40.0396,59.8
510,-1.1832,40.1285,53.1
511,-1.2027,40.1785,32.3
512,-1.386,40.2618,52.4
513,-1.3444,40.1896,46.6
514,2.017,41.3341,45.0
515,-1.5039,43.2488,51.4
516,-1.5394,43.156,45.2
517,-1.6667,43.1463,49.1
518,-1.6695,43.1745,36.9
519,-1.6689,43.1806,52.2
520,-1.7787,43.0082,70.9
521,-2.004,43.0623,56.5
522,-1.902,43.2031,55.6
523,-1.902,43.2053,53.3
524,-1.8578,43.167,49.9
525,-1.682,43.2442,54.3
526,-1.7208,43.262,53.2
527,-1.6833,43.2531,51.1
528,-1.6608,43.2933,41.5
529,-1.6522,43.2597,43.2
530,2.8203,42.216,31.7
531,2.742,42.1396,53.8
532,3.0003,42.1202,31.1
533,2.9962,42.0574,36.5
534,3.174,41.8827,20.9
535,2.1684,41.9174,56.2
536,2.0114,41.9118,52.2
537,1.7475,41.6841,46.0
538,2.0892,41.6257,21.3
539,2.035,41.6049,49.7
540,2.1636,41.7007,31.8
541,2.1892,41.6424,40.5
542,2.2072,41.6035,14.9
543,1.5058,41.4729,43.4
544,1.5669,41.4882,16.3
545,1.4919,41.4479,59.2
546,1.8753,41.3313,59.0
547,1.9031,41.3146,74.9
548,1.8775,41.3299,40.4
549,1.4016,41.4563,55.3
550,1.3975,41.4646,56.2
551,1.3786,41.4224,48.3
552,0.7766,41.009,52.8
553,0.7724,41.009,63.1
554,-0.861,41.9938,43.3
555,-0.8527,41.9841,44.2
556,-1.0544,41.3398,26.4
557,-0.8999,41.4604,47.5
558,-0.0665,41.3591,42.0
559,-0.0693,41.3424,48.8
560,-0.5249,41.7674,50.2
561,-0.5443,41.7757,48.0
562,-0.3776,41.7007,48.0
563,-0.3971,41.7174,52.7
