,Longitude,Latitude,K [mg/kg]
347,-6.7872,42.9172,82.0
348,-6.743,42.9453,83.0
349,-6.7025,42.9425,97.0
350,-6.7472,43.0222,116.0
351,-6.7225,43.0428,211.0
352,-6.6789,43.0325,143.0
353,-6.6978,43.0125,226.0
354,-6.8869,42.9945,108.0
355,-6.8769,42.9992,140.0
356,-6.8247,43.065,116.0
357,-6.7958,43.1008,64.0
358,-6.6825,43.1614,123.0
359,-6.6742,43.1528,648.0
360,-6.5728,43.1842,212.0
361,-6.5553,43.2142,165.0
362,-6.5844,43.232,223.0
363,-6.6661,43.2631,169.0
364,-6.6758,43.2689,216.0
365,-6.79,43.2017,102.0
366,-6.7694,43.2292,96.0
367,-6.7319,43.2597,50.0
368,-6.6705,43.3086,281.0
369,-6.6458,43.4691,81.0
370,-6.7269,43.332,116.0
371,-6.7569,43.3706,204.0
372,-6.8219,43.4406,190.0
373,-6.8358,43.4364,72.0
374,-6.9519,43.3703,188.0
375,-7.0125,43.347,46.0
376,-7.0267,43.3208,113.0
377,-6.9691,43.275,67.0
378,-6.86,43.2436,193.0
379,-6.9453,43.1347,73.0
380,-6.9547,43.1689,139.0
381,-7.0322,43.2736,157.0
382,-7.6697,43.5136,54.0
383,-7.5197,43.5813,92.0
384,-7.6461,43.5361,61.0
385,-7.4186,43.5947,43.0
386,-7.4953,43.5836,182.0
387,-7.4586,43.593,88.0
388,-7.4342,43.5872,57.0
389,-7.46,43.4466,26.0
390,-7.4053,43.4541,57.0
391,-7.6181,43.4208,61.0
392,-7.6308,43.448,54.0
393,-7.5331,43.5925,57.0
394,-7.5628,43.548,159.0
395,-7.4897,43.4466,133.0
396,-7.5091,43.5183,43.0
397,-7.6908,43.3086,61.0
398,-7.6686,43.4947,68.0
399,-7.5828,43.5538,104.0
400,-7.5836,43.5141,61.0
401,-7.4253,43.4758,84.0
402,-7.635,43.4863,54.0
403,-7.5303,43.4647,54.0
404,-7.5464,43.4338,57.0
405,-7.5386,43.4902,54.0
406,-7.5881,43.4705,36.0
407,-7.5942,43.4619,92.0
408,-7.5539,43.4638,33.0
409,-7.5336,43.5508,22.0
410,-7.4164,43.5911,29.0
411,-7.5389,43.5563,120.0
412,-7.5114,43.5413,200.0
413,-7.4497,43.4627,112.0
414,-7.4461,43.4214,47.0
415,-7.8403,43.4481,80.0
416,-2.3286,42.937,100.0
417,-7.695,43.5247,55.0
418,-7.3252,42.4507,47.0
419,-0.7499,42.4563,159.0
420,-0.7415,42.4535,116.0
421,0.0085,42.573,72.0
422,0.1585,42.5702,80.0
423,0.1891,42.5591,80.0
424,0.1919,42.4369,88.0
425,0.9836,42.323,195.0
426,1.3419,42.3035,173.0
427,1.7503,42.0369,72.0
428,1.2641,41.9868,80.0
429,1.4641,42.023,100.0
430,1.403,42.0535,61.0
431,1.4808,42.0896,84.0
432,1.4975,42.0424,141.0
433,1.3891,42.0063,64.0
434,1.3419,41.9521,57.0
435,1.6753,41.973,104.0
436,1.6503,41.8702,92.0
437,1.6919,41.8591,128.0
438,1.8892,42.0035,159.0
439,1.7058,42.0063,61.0
440,1.581,41.9652,104.0
441,1.6753,41.9535,116.0
442,1.9808,42.0063,91.0
443,1.9753,42.0563,92.0
444,2.1336,41.8896,150.0
445,2.067,41.8063,150.0
446,0.9641,41.3702,132.0
447,0.903,41.3229,155.0
448,0.3002,40.8368,182.0
449,0.3335,40.7735,159.0
450,0.3252,40.6824,61.0
451,0.2224,40.7896,93.0
452,-0.6276,40.6396,85.0
453,-0.6499,40.6229,139.0
454,-0.5249,40.2757,185.0
455,-0.6749,40.3062,218.0
456,-0.7026,40.3229,134.0
457,-1.0193,40.4063,119.0
458,-1.3527,40.3396,337.0
459,-1.3582,40.3201,211.0
460,-0.8943,40.0229,54.0
461,-1.0138,40.0368,253.0
462,-0.986,40.0396,395.0
463,-1.1832,40.1285,226.0
464,-1.2027,40.1785,146.0
465,-1.386,40.2618,137.0
466,-1.3444,40.1896,146.0
467,-1.5039,43.2488,131.0
468,-1.5394,43.156,174.0
469,-1.6667,43.1463,263.0
470,-1.6695,43.1745,399.0
471,-1.6689,43.1806,604.0
472,-1.7787,43.0082,138.0
473,-2.004,43.0623,126.0
474,-1.902,43.2031,478.0
475,-1.902,43.2053,299.0
476,-1.8578,43.167,341.0
477,-1.682,43.2442,317.0
478,-1.7208,43.262,305.0
479,-1.6833,43.2531,397.0
480,-1.6608,43.2933,474.0
481,-1.6522,43.2597,212.0
482,2.9337,41.9507,183.0
483,-0.5332,42.4508,95.0
484,-1.4249,40.0229,34.0
485,-1.511,39.9729,75.0
486,-1.6027,40.0896,555.0
487,-1.6305,40.0285,232.0
488,-1.8083,39.7896,486.0
489,-1.8333,39.7868,483.0
490,-1.9249,39.8757,245.0
491,-2.1,39.8562,158.0
492,-2.2472,39.9731,59.0
493,-2.0416,40.0229,536.0
494,-2.0416,40.0285,677.0
495,-2.3944,40.0729,393.0
496,-2.0444,40.1229,188.0
497,-2.0456,40.0495,318.0
498,-2.1861,40.1868,344.0
499,-1.9249,40.2257,401.0
500,-2.0138,40.259,265.0
501,-1.8333,40.3701,298.0
502,-1.8833,40.3896,201.0
