,Longitude,Latitude,Litho [%] (Coarse material)
331,-6.1169,43.0536,0.4
332,-6.1455,43.0508,5.9
333,-6.2394,43.057,33.5
334,-6.2383,43.0336,22.75
335,-6.3233,43.0617,14.64
336,-6.32,43.0917,60.85
337,-6.3364,43.1431,57.79
338,-6.2911,43.2233,20.93
339,-6.253,43.2278,66.52
340,-6.2678,43.28,61.41
341,-6.2825,43.4531,15.6
342,-6.3544,43.3781,18.8
343,-6.3992,43.3717,0.01
344,-6.3742,43.3442,13.0
345,-6.47,43.3303,33.73
346,-6.3722,43.3097,64.51
347,-6.4286,43.2261,50.89
348,-6.4458,43.1781,15.06
349,-6.4658,43.0995,41.82
350,-6.4647,43.0711,48.41
351,-6.4697,43.05,27.32
352,-6.4283,43.07,52.2
353,-6.3772,43.06,35.3
354,-6.4275,42.9939,19.02
355,-6.4864,42.9739,48.82
356,-6.448,42.9461,69.18
357,-6.5264,42.9392,55.12
358,-6.5747,42.982,32.45
359,-6.6189,42.9542,67.66
360,-6.7872,42.9172,46.3
361,-6.743,42.9453,40.53
362,-6.7025,42.9425,52.15
363,-6.7472,43.0222,82.53
364,-6.7225,43.0428,80.8
365,-6.6789,43.0325,68.0
366,-6.6978,43.0125,61.74
367,-6.8869,42.9945,47.35
368,-6.8769,42.9992,20.42
369,-6.8247,43.065,73.25
370,-6.7958,43.1008,82.38
371,-6.6825,43.1614,32.97
372,-6.6742,43.1528,63.0
373,-6.5728,43.1842,11.3
374,-6.5553,43.2142,21.9
375,-6.5844,43.232,31.8
376,-6.6661,43.2631,29.8
377,-6.6758,43.2689,24.1
378,-6.79,43.2017,8.4
379,-6.7694,43.2292,31.3
380,-6.7319,43.2597,36.6
381,-6.6705,43.3086,0.6
382,-6.6458,43.4691,18.5
383,-6.7269,43.332,42.9
384,-6.7569,43.3706,19.2
385,-6.8219,43.4406,19.7
386,-6.8358,43.4364,11.8
387,-6.9519,43.3703,0.01
388,-7.0125,43.347,0.01
389,-7.0267,43.3208,36.5
390,-6.9691,43.275,17.9
391,-6.86,43.2436,34.0
392,-6.9453,43.1347,65.98
393,-6.9547,43.1689,18.9
394,-7.0322,43.2736,42.2
395,-7.6697,43.5136,38.8
396,-7.5197,43.5813,64.2
397,-7.6461,43.5361,53.1
398,-7.4186,43.5947,0.01
399,-7.4953,43.5836,2.0
400,-7.4586,43.593,9.4
401,-7.4342,43.5872,36.8
402,-7.46,43.4466,37.3
403,-7.4053,43.4541,7.9
404,-7.6181,43.4208,54.5
405,-7.6308,43.448,44.9
406,-7.5331,43.5925,28.3
407,-7.5628,43.548,16.3
408,-7.4897,43.4466,30.2
409,-7.5091,43.5183,33.4
410,-7.6908,43.3086,16.8
411,-7.6686,43.4947,47.7
412,-7.5828,43.5538,25.7
413,-7.5836,43.5141,20.2
414,-7.4253,43.4758,35.8
415,-7.635,43.4863,16.9
416,-7.5303,43.4647,2.6
417,-7.5464,43.4338,3.1
418,-7.5386,43.4902,22.2
419,-7.5881,43.4705,32.1
420,-7.5942,43.4619,37.5
421,-7.5539,43.4638,29.1
422,-7.5336,43.5508,4.3
423,-7.4164,43.5911,61.2
424,-7.5389,43.5563,15.2
425,-7.5114,43.5413,0.01
426,-7.4497,43.4627,20.5
427,-7.4461,43.4214,7.4
428,-8.8003,41.9341,51.49
429,-8.6783,42.0759,23.37
430,-8.7022,42.0448,7.85
431,-8.6208,42.5759,21.71
