,Longitude,Latitude,Clay min [%]
591,1.86,42.2507,36.7
592,1.7578,42.2196,25.8
593,1.7286,42.2341,33.2
594,1.678,42.2257,28.3
595,1.2614,42.3341,12.9
596,1.7483,42.3285,12.5
597,1.7905,42.3341,21.2
598,1.3378,42.428,28.0
599,1.3169,42.4299,18.8
600,1.1794,42.448,21.3
601,1.3244,42.5952,16.0
602,1.3419,42.5377,16.7
603,0.2307,42.6346,15.0
604,-0.0717,42.6481,10.1
605,0.1991,42.6327,15.3
606,-0.6561,42.7453,18.0
607,-0.7195,42.7258,30.8
608,-0.795,42.7425,27.1
609,-0.8272,42.7356,28.3
610,-0.8625,42.9217,40.9
611,-1.0728,42.8953,19.5
612,-1.1389,42.9264,20.0
613,-1.4249,42.9437,36.3
614,-1.3706,42.8453,18.4
615,-1.1272,42.7036,16.0
616,-1.1939,42.7461,24.9
617,-1.0111,42.6617,27.5
618,-0.927,42.6642,27.0
619,-0.9792,42.4353,23.0
620,-0.9914,42.3814,11.4
621,-0.5292,42.5267,22.8
622,-0.6221,42.3494,41.9
623,-1.6583,40.4618,11.8
624,-1.6633,40.4945,28.7
625,-1.6328,40.5287,30.0
626,-1.6256,40.3878,10.1
627,-1.4416,40.2785,24.0
628,1.0872,41.3591,12.5
629,1.0511,41.3368,8.4
630,0.2974,40.7118,13.0
631,0.246,40.7474,52.5
632,-0.6889,40.4003,28.0
633,-0.6972,40.4076,30.5
634,-0.8416,40.4062,27.0
635,2.1503,41.4202,9.4
636,2.4059,41.5852,5.0
637,2.3975,41.5868,10.5
638,2.4086,41.5743,5.5
639,2.3734,41.6231,7.6
640,2.3531,41.6285,28.0
641,2.3684,41.6266,3.1
642,2.7309,41.7332,4.5
643,2.7239,41.6646,6.3
644,2.3856,41.9327,3.6
645,2.3036,41.8757,3.6
646,2.4475,41.7507,15.6
647,2.3836,41.7549,8.3
648,2.7225,41.8507,8.0
649,2.7003,41.871,5.8
650,2.6239,41.7924,6.6
651,2.8328,41.8446,4.2
652,2.6975,41.7466,8.1
653,3.1017,41.9652,4.3
654,3.192,41.9907,1.2
655,2.5525,41.8152,4.1
656,2.6753,42.1424,25.5
657,2.8339,42.2096,11.1
658,3.0651,41.8091,6.0
659,3.0434,41.7932,5.7
660,-1.4464,41.2995,11.8
661,-1.4369,41.2809,8.3
662,-1.4172,41.2964,9.5
663,-1.1014,41.1773,10.6
664,-1.0903,41.1953,5.0
665,-0.6911,40.2413,4.8
666,-0.7695,40.2699,7.8
667,-0.8125,40.3523,3.7
668,-1.2589,40.3517,4.4
669,-1.3883,40.5023,10.2
670,-1.3742,40.3931,18.4
671,2.9337,41.9507,11.2
672,2.8837,42.0007,10.0
673,1.8308,42.3507,10.8
674,2.5725,41.8604,9.0
675,3.1837,42.0841,20.5
676,-0.4526,42.3341,18.5
677,0.353,42.6674,22.1
678,-0.5332,42.4508,36.0
679,-0.286,42.6841,16.0
680,0.0335,42.6008,8.0
681,-0.5832,42.6841,27.0
682,-0.2526,42.6341,29.0
683,-0.2998,42.2341,32.5
684,0.6697,42.7841,18.5
685,0.8502,42.5174,16.5
686,-1.4249,40.0229,8.5
687,-1.511,39.9729,7.9
688,-1.6027,40.0896,25.0
689,-1.6305,40.0285,11.2
690,-1.8083,39.7896,25.5
691,-1.8333,39.7868,36.1
692,-1.9249,39.8757,22.4
693,-2.1,39.8562,26.6
694,-2.2472,39.9731,5.5
695,-2.0416,40.0229,53.5
696,-2.0416,40.0285,43.0
697,-2.3944,40.0729,34.5
698,-2.0444,40.1229,28.0
699,-2.0456,40.0495,45.1
700,-2.1861,40.1868,17.8
701,-1.9249,40.2257,19.6
702,-2.0138,40.259,37.0
703,-1.8333,40.3701,63.3
704,-1.8833,40.3896,21.2
705,-2.1583,40.3868,31.1
706,-2.2611,40.4451,10.8
707,-2.1583,40.459,22.5
708,-2.0916,40.4951,38.5
709,-2.0111,40.5896,14.5
710,-2.1027,40.5896,17.8
711,-2.0805,40.5868,21.1
712,-2.2777,40.5729,22.1
713,-2.1861,40.609,27.6
714,-2.25,40.7257,20.3
715,-2.3639,40.6424,22.6
716,-2.2138,40.6924,20.5
717,-2.1861,40.7229,12.6
718,-2.1527,40.7979,27.4
719,-2.1277,40.659,30.5
720,-2.1166,40.6563,28.7
721,-3.325,41.6452,21.7
722,-3.3139,41.6396,45.4
723,-4.8695,40.4563,8.1
724,-2.3639,38.6562,31.8
725,-2.35,38.6423,20.2
726,-2.3666,38.6118,25.0
727,-2.38,38.5562,15.5
728,-2.4027,38.5395,11.6
729,-2.2889,38.4729,23.5
730,-2.6805,38.4201,10.9
731,-2.2666,38.134,35.1
732,-2.3,38.0951,16.5
733,-1.2999,39.034,27.2
734,-2.7667,39.0007,26.0
735,-2.05,38.3315,15.0
736,-4.6474,40.3297,14.2
737,-4.4445,40.7424,10.0
738,-4.9787,40.391,7.5
739,-5.1923,40.1812,11.8
740,-5.0196,41.0007,18.0
741,-4.5951,40.384,12.3
742,-4.8696,40.284,8.5
743,-4.4931,40.6001,13.0
744,-4.3844,40.5259,7.0
745,-4.9862,40.1673,13.0
746,-5.0362,40.234,9.0
747,-5.1779,40.2174,11.0
748,-4.7362,41.0174,16.6
749,-4.9362,40.2007,6.7
750,-5.2501,40.4507,11.0
751,-4.4612,40.5965,10.5
752,-4.3945,40.6257,19.5
753,-4.3444,40.5814,10.0
754,-4.3489,40.5759,10.0
755,-4.5001,40.7174,15.5
756,-4.1832,40.6738,12.0
757,-4.2014,40.6148,16.0
758,-4.4195,40.5479,8.5
759,-4.5529,40.3174,13.5
760,-4.8998,40.2499,10.0
761,-4.6836,40.3184,7.0
762,-4.9001,40.259,8.0
763,-4.9696,40.2507,8.4
764,-4.6146,40.194,7.2
765,-4.719,40.9757,2.0
766,-4.6861,40.9648,1.7
767,-5.5863,40.334,6.5
768,-4.3529,40.5707,6.0
769,-4.5001,40.5007,12.0
770,-4.6737,40.8257,6.0
771,-4.5668,40.3507,9.4
772,-5.0362,40.234,7.8
773,-5.2668,40.684,6.8
774,-4.9834,40.4007,10.5
775,-4.9862,40.3174,12.0
776,-4.6195,40.2049,7.8
777,-4.5001,40.384,18.0
778,-4.5001,40.334,15.0
779,-3.175,42.8341,12.5
780,-3.9028,41.6507,3.5
781,-3.3334,42.3674,11.0
782,-3.5417,42.0674,8.0
783,-3.3167,42.0174,15.1
784,-3.125,41.9341,8.0
785,-3.1333,42.3091,18.0
786,-3.2195,42.3007,19.5
787,-3.4393,42.0626,18.3
788,-3.3806,41.8923,2.3
789,-2.9667,41.9674,18.0
790,-3.6583,41.9481,14.0
791,-3.1861,42.3341,12.5
792,-3.7336,42.6247,26.5
793,-3.1153,42.6675,23.0
794,-3.7483,42.6267,22.0
795,-4.7445,40.4618,8.5
796,-4.5325,40.3259,12.0
797,-4.5319,40.3148,9.0
798,-4.5258,40.3245,11.0
799,-5.0086,40.2759,9.0
800,-5.0097,40.3031,7.0
801,-4.5533,42.4822,12.2
802,-4.5889,42.4981,15.1
803,-4.7444,42.5314,32.4
804,-4.4755,42.5437,11.5
805,-4.5208,42.5336,8.7
806,-4.5472,42.5934,15.6
807,-4.5417,42.5892,20.3
808,-4.5361,42.5831,25.5
809,-4.8111,42.4675,16.0
810,-4.9181,42.687,16.5
811,-4.9078,42.6939,20.3
812,-5.2339,42.7818,6.5
813,-4.95,42.6481,10.5
814,-4.9167,42.6989,11.5
815,-4.8361,42.655,14.9
816,-5.2551,42.7363,8.5
817,-5.2584,42.7061,8.3
818,-5.7342,42.6856,6.7
819,-5.6922,42.7875,11.8
820,-5.6778,42.7858,19.0
821,-5.6931,42.7772,7.9
822,-5.6806,42.7884,19.4
823,-5.6805,42.7842,7.5
824,-4.0042,40.7877,12.4
825,-4.0112,40.7707,10.6
826,-4.049,40.7596,15.1
827,-4.0684,40.7735,10.1
828,-4.1421,40.6231,6.9
829,-4.1672,40.6008,15.8
830,-4.1357,40.63,12.2
831,-4.1538,40.65,7.8
832,-4.0276,40.7338,17.5
833,-4.0812,40.7315,11.6
834,-4.156,40.6045,9.8
835,-4.199,40.5663,6.6
836,-4.1775,40.5818,9.7
